Response,Germany,United Kingdom,United States
5/31,23%,38%,28%
5/30,22%,33%,28%
5/29,21%,34%,21%
5/28,20%,34%,31%
5/27,22%,35%,34%
5/26,31%,42%,27%
5/25,25%,28%,21%
5/24,22%,34%,35%
5/23,31%,42%,28%
5/22,40%,39%,32%
5/21,17%,33%,27%
5/20,18%,38%,34%
5/19,15%,37%,29%
5/18,28%,41%,28%
5/17,24%,35%,31%
5/16,22%,37%,30%
5/15,19%,32%,26%
5/14,26%,35%,27%
5/13,30%,31%,23%
5/12,26%,34%,30%
5/11,27%,29%,30%
5/10,17%,33%,29%
5/09,31%,35%,24%
5/08,25%,31%,32%
5/07,12%,36%,34%
5/06,19%,36%,36%
5/05,26%,27%,33%
5/04,28%,33%,34%
5/03,25%,34%,26%
5/02,28%,36%,34%
5/01,15%,31%,27%
4/30,31%,40%,27%
4/29,27%,39%,26%
4/28,21%,36%,28%
4/27,27%,21%,29%
4/26,31%,32%,29%
4/25,15%,32%,38%
4/24,27%,29%,31%
4/23,25%,34%,16%
4/22,32%,28%,31%
4/21,16%,36%,30%
4/20,29%,43%,32%
4/19,34%,36%,33%
4/18,27%,35%,25%
4/17,29%,30%,32%
4/16,25%,34%,29%
4/15,14%,39%,30%
4/14,21%,33%,28%
4/13,24%,32%,29%
4/12,21%,34%,26%
4/11,26%,29%,31%
4/10,32%,31%,23%
4/09,25%,32%,29%
4/08,25%,42%,29%
4/07,30%,24%,26%
4/06,25%,34%,29%
4/05,28%,28%,34%
4/04,22%,33%,30%
4/03,28%,27%,21%
4/02,28%,34%,27%
4/01,22%,32%,32%
3/31,28%,27%,32%
3/30,23%,30%,16%
3/29,27%,41%,25%
3/28,31%,34%,26%
3/27,33%,34%,30%
3/26,28%,38%,18%
3/25,22%,31%,33%
3/24,29%,35%,22%
3/23,31%,41%,27%
