Manufacturer and model,Minimal delivery time,Maximal delivery time
Mazda - 5,4,5
Mazda - CX-7*,4,4
Nissan - 370Z,3,6
Nissan - Juke,3,4
Nissan - Micra,4,6
Nissan - Navara,4,6
Nissan - Note,2,4
Nissan - NV200,4,6
Nissan - Pathfinder*,5,5
Nissan - Pixo,4,5
Nissan - Qashqai/+2,5,7
Nissan - X-Trail,4,6
Toyota - Auris,2,4
Toyota - Avensis,2,3
Toyota - iQ,3,4
Toyota - Land Cruiser,3,4
Toyota - Prius,3,5
Toyota - RAV4,3,4
Toyota - Urban Cruiser,3,4
Toyota - Verso,2,4
Toyota - Yaris,2,3
Honda - Insight*,4,4
Suzuki - Alto,3,6
Suzuki - Grand Vitara,3,4
Suzuki - Jimny*,6,6
Suzuki - Kizashi*,6,6
Suzuki - Splash*,6,6
Suzuki - Swift*,6,6
Suzuki - SX4*,6,6
Mitsubishi - ASX*,6,6
Mitsubishi - i-MiEV*,6,6
