per week in 2020,2020*,Average 2015-2019
Week 50,74,249
Week 49,231,253
Week 48,273,245
Week 47,280,241
Week 46,265,236
Week 45,238,242
Week 44,240,236
Week 43,224,242
Week 42,230,231
Week 41,220,234
Week 40,221,229
Week 39,223,226
Week 38,216,225
Week 37,218,222
Week 36,216,227
Week 35,212,222
Week 34,225,220
Week 33,216,219
Week 32,224,218
Week 31,221,226
Week 30,219,223
Week 29,216,225
Week 28,224,223
Week 27,223,226
Week 26,238,221
Week 25,238,221
Week 24,246,214
Week 23,250,224
Week 22,237,224
Week 21,274,222
Week 20,284,229
Week 19,312,234
Week 18,320,237
Week 17,324,247
Week 16,361,250
Week 15,367,250
Week 14,340,259
Week 13,291,258
Week 12,266,261
Week 11,247,271
Week 10,261,280
Week 9,254,284
Week 8,254,283
Week 7,261,272
Week 6,247,272
Week 5,264,273
Week 4,247,278
Week 3,261,279
Week 2,270,278
Week 1,270,290
