Year,Germany,France,United Kingdom,Italy,Spain
2021*,1.2%,0.7%,1.5%,0.7%,0.7%
2020,0.3%,0.3%,1.2%,0.2%,-0.3%
2019,1.3%,1.3%,1.8%,0.6%,0.7%
2018,2%,2.1%,2.5%,1.2%,1.7%
2017,1.7%,1.2%,2.7%,1.3%,2%
2016,0.4%,0.3%,0.7%,-0.1%,-0.2%
2015,0.7%,0.1%,0%,0.1%,-0.5%
2014,0.8%,0.6%,1.5%,0.2%,-0.2%
2013,1.6%,1%,2.6%,1.2%,1.4%
2012,2.1%,2.2%,2.8%,3.3%,2.4%
2011,2.5%,2.3%,4.5%,2.9%,3.2%
2010,1.1%,1.7%,3.3%,1.6%,1.8%
2009,0.2%,0.1%,2.2%,0.8%,-0.3%
2008,2.7%,3.2%,3.6%,3.5%,4.1%
2007,2.3%,1.6%,2.3%,2%,2.8%
2006,1.8%,1.9%,2.3%,2.2%,3.5%
2005,1.9%,1.9%,2.1%,2.2%,3.4%
2004,1.8%,2.3%,1.3%,2.3%,3%
2003,1.1%,2.2%,1.4%,2.8%,3%
2002,1.3%,1.9%,1.3%,2.6%,3.1%
2001,1.9%,1.8%,1.2%,2.3%,3.6%
2000,1.4%,1.8%,0.8%,2.6%,3.5%
1999,0.7%,0.6%,1.3%,1.7%,2.2%
1998,0.6%,0.7%,1.6%,2%,1.8%
1997,1.5%,1.3%,1.8%,1.8%,1.9%
1996,1.3%,2.1%,2.4%,4%,3.6%
1995,1.7%,1.8%,2.6%,5.4%,4.7%
1994,2.7%,1.7%,2%,4.2%,4.7%
1993,4.5%,2.2%,2.5%,4.5%,4.6%
1992,5%,2.5%,4.2%,5%,7.1%
1991,3.5%,3.4%,7.5%,6.2%,5.9%
1990,2.7%,0.3%,7%,6.4%,6.7%
1989,2.8%,6.6%,5.2%,6.2%,6.8%
1988,1.3%,2.7%,4.6%,5.1%,4.8%
1987,0.2%,3.3%,4.1%,4.7%,5.2%
1986,-0.1%,2.5%,3.6%,5.8%,8.8%
1985,2.1%,5.8%,5.2%,9%,8.8%
1984,2.4%,7.7%,4.4%,10.7%,11.3%
1983,3.3%,9.5%,5.2%,14.7%,12.2%
1982,5.3%,12%,8.5%,16.5%,14.4%
1981,6.3%,13.3%,12.2%,19.5%,14.5%
1980,5.4%,13.1%,16.8%,21.8%,15.6%
