Month and year,Imports,Exports
May20,3565.12,1935.27
Apr20,4372.28,1812.74
Mar20,10892.87,4761.01
Feb20,10958.09,4991.54
Jan20,10146.83,4722.68
Dec19,11572.73,4493.69
Nov19,11538.99,4801.52
Oct19,11423.29,5036.87
Sep19,11590.3,5169.75
Aug19,12765.47,5459.26
Jul19,11786.53,4710.98
Jun19,12703.12,5462.44
May19,12898.92,5602.77
Apr19,12042.91,5199.91
Mar19,12990.86,5747.52
Feb19,10795.77,5188.38
Jan19,10338.58,4692.43
Dec18,11611.95,4939.66
Nov18,12745.31,5178.05
Oct18,13139.54,5658.26
Sep18,11804.12,5371.54
Aug18,12626.61,5685.35
Jul18,11159.64,5041.57
Jun18,12411.76,5904.39
May18,12666.37,6035.21
Apr18,12280.3,5796.95
Mar18,13218.8,6179.19
Feb18,11700.72,5271.98
Jan18,11461.85,4931.22
Dec17,12120.05,5250.38
Nov17,12430.98,5844.06
Oct17,12012.32,5844.51
Sep17,11244.03,5866.64
Aug17,11845.6,5595.0
Jul17,10105.19,4963.64
Jun17,12671.37,5813.65
May17,12190.6,6023.7
Apr17,11372.39,5272.72
Mar17,12280.4,6190.98
Feb17,11024.83,5248.52
Jan17,10975.82,5007.26
