State,Advance claims made during week ending December 5,Prior week*
California,177837,130383
Illinois,105599,74131
New York,63391,45863
Texas,44663,24792
Pennsylvania,40244,23878
Ohio,35164,27786
Georgia,32371,19183
Kansas,32046,22519
Indiana,26910,20575
Massachusetts,25838,24178
Minnesota,25429,24527
Washington,25333,23260
Florida,25012,23063
Virginia,23221,8606
Michigan,22170,22965
Wisconsin,21521,16138
Colorado,19561,17171
New Jersey,15951,13546
Oregon,14720,15371
Iowa,10747,5357
Maryland,10259,9289
Nevada,9574,6442
Missouri,9557,8595
Arizona,9283,5569
North Carolina,9183,6391
New Mexico,8432,8337
Kentucky,7936,9319
Connecticut,7812,5949
Alabama,7059,7061
Tennessee,6886,6186
Louisiana,6839,11780
Oklahoma,5498,3541
Rhode Island,5177,3932
South Carolina,5109,2567
Alaska,4821,3834
Idaho,4792,3991
Mississippi,4532,3373
Hawaii,4335,3542
Arkansas,3937,3663
Montana,3827,3633
Utah,3394,2385
Maine,2943,1944
New Hampshire,2923,2308
Nebraska,2895,2392
West Virginia,2743,1628
Vermont,1904,1255
Delaware,1896,1533
North Dakota,1890,1613
District of Columbia,1511,1110
South Dakota,818,436
Wyoming,804,610
