Month,Patients within Japan,Airport quarantine,Returnees from Hunan on government charter flights
Dec 4 '20,153658,1559,15
Dec 3 '20,151263,1549,15
Dec 2 '20,148837,1534,15
Dec 1 '20,147155,1524,15
Nov 30 '20,145231,1514,15
Nov 29 '20,143139,1499,15
Nov 28 '20,140568,1485,15
Nov 27 '20,138011,1465,15
Nov 26 '20,135787,1459,15
Nov 25 '20,133939,1446,15
Nov 24 '20,132479,1435,15
Nov 23 '20,130917,1426,15
Nov 22 '20,128750,1414,15
Nov 21 '20,126256,1394,15
Nov 20 '20,123867,1385,15
Nov 19 '20,121580,1371,15
Nov 18 '20,119441,1359,15
Nov 17 '20,117960,1351,15
Nov 16 '20,116774,1347,15
Nov 15 '20,115327,1335,15
Nov 14 '20,113649,1319,15
Nov 13 '20,111970,1313,15
Nov 12 '20,110409,1287,15
Nov 11 '20,108865,1276,15
Nov 10 '20,107696,1272,15
Nov 9 '20,106806,1263,15
Nov 8 '20,105827,1244,15
Nov 7 '20,104682,1217,15
Nov 6 '20,103558,1209,15
Nov 5 '20,102619,1204,15
Nov 4 '20,101693,1192,15
Nov 3 '20,101078,1188,15
Nov 2 '20,100618,1180,15
Nov 1 '20,99959,1172,15
Oct 31 '20,99214,1163,15
Oct 30 '20,98453,1154,15
Oct 29 '20,97687,1150,15
Oct 28 '20,96958,1143,15
Oct 27 '20,96340,1143,15
Oct 26 '20,95924,1135,15
Oct 25 '20,95392,1127,15
Oct 24 '20,94706,1114,15
Oct 23 '20,94014,1109,15
Oct 22 '20,93405,1104,15
Oct 21 '20,92819,1099,15
Oct 20 '20,92373,1092,15
Oct 19 '20,92023,1089,15
Oct 18 '20,91560,1081,15
Oct 17 '20,90979,1069,15
Oct 16 '20,90354,1062,15
Oct 15 '20,89637,1058,15
Oct 14 '20,89070,1055,15
Oct 13 '20,88609,1049,15
Oct 12 '20,88288,1044,15
Oct 11 '20,87858,1039,15
Oct 10 '20,87191,1027,15
Oct 9 '20,86606,1018,15
Oct 8 '20,85992,1013,15
Oct 7 '20,85521,1007,15
Oct 6 '20,85030,1002,15
Oct 5 '20,84733,991,15
Oct 4 '20,84340,984,15
Oct 3 '20,83783,970,15
Oct 2 '20,83236,964,15
Oct 1 '20,82597,951,15
Sep 30 '20,82053,945,15
Sep 29 '20,81537,942,15
Sep 28 '20,81181,935,15
Sep 27 '20,80747,928,15
Sep 26 '20,80118,922,15
Sep 25 '20,79565,917,15
Sep 24 '20,79116,910,15
Sep 23 '20,78847,906,15
Sep 22 '20,78525,898,15
Sep 21 '20,78234,891,15
Sep 20 '20,77762,880,15
Sep 19 '20,77183,875,15
Sep 18 '20,76610,869,15
Sep 17 '20,76135,859,15
Sep 16 '20,75582,851,15
Sep 15 '20,75093,850,15
Sep 14 '20,74797,845,15
Sep 13 '20,74360,843,15
Sep 12 '20,73694,835,15
Sep 11 '20,73058,828,15
Sep 10 '20,72381,825,15
Sep 9 '20,71889,822,15
Sep 8 '20,71398,821,15
Sep 7 '20,71025,816,15
Sep 6 '20,70592,812,15
Sep 5 '20,70051,810,15
Sep 4 '20,69450,803,15
Sep 3 '20,68785,799,15
Sep 2 '20,68196,790,15
Sep 1 '20,67595,782,15
Aug 31 '20,67077,773,15
Aug 30 '20,66481,768,15
Aug 29 '20,65645,763,15
Aug 28 '20,64801,757,15
Aug 27 '20,63901,752,15
Aug 26 '20,63060,747,15
Aug 25 '20,62364,742,15
Aug 24 '20,61754,738,15
Aug 23 '20,61001,731,15
Aug 22 '20,59988,730,15
Aug 21 '20,58978,728,15
Aug 20 '20,57766,720,15
Aug 19 '20,56820,715,15
Aug 18 '20,55958,712,15
Aug 17 '20,54952,700,15
Aug 16 '20,54002,697,15
Aug 15 '20,52869,693,15
Aug 14 '20,51513,689,15
Aug 13 '20,50444,688,15
Aug 12 '20,49512,683,15
Aug 11 '20,48238,675,15
Aug 10 '20,47306,669,15
Aug 9 '20,46105,663,15
Aug 8 '20,44770,654,15
Aug 7 '20,43152,648,15
Aug 6 '20,41611,637,15
Aug 5 '20,40485,629,15
Aug 4 '20,39220,623,15
Aug 3 '20,38072,600,15
Aug 2 '20,36081,593,15
Aug 1 '20,35233,588,15
Jul 31 '20,33774,583,15
Jul 30 '20,32459,575,15
Jul 29 '20,31333,553,15
Jul 28 '20,30406,540,15
Jul 27 '20,29452,522,15
Jul 26 '20,28851,516,15
Jul 25 '20,28266,505,15
Jul 24 '20,27441,500,15
Jul 23 '20,26529,485,15
Jul 22 '20,25807,481,15
Jul 21 '20,25255,466,15
Jul 20 '20,24626,455,15
Jul 19 '20,24181,446,15
Jul 18 '20,23680,437,15
Jul 17 '20,23029,429,15
Jul 16 '20,22450,425,15
Jul 15 '20,22081,412,15
Jul 14 '20,21798,407,15
Jul 13 '20,21459,394,15
Jul 12 '20,21113,374,15
