Month and year,Imports,Exports
May20,1827.17,1582.47
Apr20,1826.34,1654.42
Mar20,2098.41,2025.21
Feb20,2033.74,1860.67
Jan20,2310.8,1849.06
Dec19,2294.51,1793.17
Nov19,2335.29,1881.42
Oct19,2553.0,2055.85
Sep19,2290.79,1979.84
Aug19,2591.86,2097.77
Jul19,2700.37,1977.35
Jun19,2484.04,2016.47
May19,2673.18,2061.21
Apr19,2645.94,2141.23
Mar19,2455.78,2234.4
Feb19,2366.75,1848.26
Jan19,2596.37,1975.0
Dec18,2260.98,2119.8
Nov18,2944.55,2064.94
Oct18,3447.55,2246.94
Sep18,2655.88,2379.77
Aug18,3050.34,2412.73
Jul18,2934.74,2389.63
Jun18,2794.82,2542.13
May18,2956.87,2457.88
Apr18,2506.27,2504.87
Mar18,2334.67,2511.91
Feb18,2397.84,2069.76
Jan18,2522.97,1997.54
Dec17,2223.56,2352.44
Nov17,2883.47,2264.67
Oct17,3106.92,2377.7
Sep17,2542.83,2390.49
Aug17,2598.69,2396.73
Jul17,2359.63,2166.59
Jun17,2502.84,2171.64
May17,2444.25,2118.57
Apr17,2181.26,2199.85
Mar17,2301.21,2274.98
Feb17,2389.75,2014.97
Jan17,2250.13,1884.33
