quarter,Samsung,Huawei,Apple,Xiaomi,Oppo,Vivo,Other
3Q '20,22%,14.1%,11.1%,12.1%,8.2%,-,32.5%
2Q '20,18.6%,18.4%,13%,8.9%,8%,-,33.2%
1Q '20,18.5%,14.2%,13.7%,9.3%,8%,-,36.2%
4Q '19,17.3%,14.3%,17.2%,8%,7.5%,-,35.8%
3Q '19,20.4%,17%,10.5%,8.3%,8%,-,35.8%
2Q '19,20.4%,15.8%,10.5%,9%,7.6%,-,36.7%
1Q '19,19.2%,15.7%,11.9%,-,7.9%,7.3%,37.9%
4Q '18,17.3%,14.8%,15.8%,6.8%,7.7%,-,37.5%
3Q '18,18.9%,13.4%,11.8%,8.5%,7.9%,-,39.6%
2Q '18,19.3%,13.3%,11.9%,8.8%,7.6%,-,39%
1Q '18,20.5%,10.5%,14.1%,7.4%,7.3%,6.1%,34%
4Q '17,18.2%,10.8%,17.9%,6.9%,6.3%,-,39.9%
3Q '17,22.3%,9.5%,11.9%,7%,7.7%,-,41.6%
2Q '17,22.6%,9.8%,12.1%,5.8%,7.1%,6.6%,36%
1Q '17,20.8%,9%,13.7%,3.4%,8.2%,6.8%,38.1%
4Q '16,18.2%,10.8%,17.9%,6.9%,6.3%,-,39.9%
3Q '16,19.3%,8.7%,11.6%,4%,6.6%,-,49.8%
2Q '16,22.4%,8.9%,12.9%,-,5.3%,4.1%,46.4%
1Q'16,23.3%,8.3%,14.8%,-,4.6%,4%,45%
