Year,Embarked,Disembarked,Difference
1866,877,722,155
1865,2265,1855,410
1864,4653,3895,758
1863,6217,5649,568
1862,12659,10382,2277
1861,17744,14621,3123
1860,22310,18370,3940
1859,32379,26290,6089
1858,19186,15699,3487
1857,12711,10448,2263
1856,8680,7328,1352
1855,6396,5343,1053
1854,14819,12706,2113
1853,17802,15455,2347
1852,10542,9082,1460
1851,16036,13415,2621
1850,41203,34259,6944
1849,79944,65125,14819
1848,78747,63767,14980
1847,77681,63241,14440
1846,64742,52827,11915
1845,29040,23819,5221
1844,45355,38025,7330
1843,51783,42523,9260
1842,34830,30445,4385
1841,47774,41743,6031
1840,63167,55451,7716
1839,94263,77362,16901
1838,96842,79081,17761
1837,97773,80724,17049
1836,96270,79663,16607
1835,76136,64011,12125
1834,42785,36412,6373
1833,32202,27548,4654
1832,27839,24434,3405
1831,23287,20860,2427
1830,81821,73357,8464
1829,108736,98243,10493
1828,86464,78104,8360
1827,88093,78602,9491
1826,92431,84860,7571
1825,83664,74309,9355
1824,64324,57620,6704
1823,49901,44628,5273
1822,82108,72605,9503
1821,73226,63678,9548
1820,72859,63099,9760
1819,75763,67369,8394
1818,86992,78173,8819
1817,86892,78627,8265
1816,74001,67249,6752
1815,57394,51649,5745
1814,51914,47404,4510
1813,50245,45470,4775
1812,55926,50503,5423
1811,56768,51349,5419
1810,69457,62164,7293
1809,39775,35189,4586
1808,41691,36571,5120
1807,111262,95862,15400
1806,100623,88001,12622
1805,88966,78730,10236
1804,88318,77560,10758
1803,97722,86954,10768
1802,98941,88813,10128
1801,79218,71371,7847
1800,85629,76921,8708
1799,88084,79801,8283
1798,71267,65552,5715
1797,74800,67622,7178
1796,68236,61835,6401
1795,69236,64345,4891
1794,67295,61382,5913
1793,99563,89623,9940
1792,115519,101945,13574
1791,107244,94876,12368
1790,111619,97860,13759
1789,92414,81054,11360
1788,104040,91268,12772
1787,101304,88239,13065
1786,95528,83200,12328
1785,95125,84156,10969
1784,104364,94383,9981
1783,62262,55933,6329
1782,52401,47303,5098
1781,48480,44125,4355
1780,39694,36717,2977
1779,37759,34165,3594
1778,60825,54931,5894
1777,66847,60249,6598
1776,87146,77746,9400
1775,92909,79004,13905
