Year,United States,Worldwide
2019,2512780,67149196
2018,2785164,71750946
2017,3033216,73456531
2016,3916584,72388433
2015,4162808,68604137
2014,4253098,67782035
2013,4368835,65638451
2012,4105853,63069541
2011,2976991,59897746
2010,2731105,58264852
2009,2195588,47772598
2008,3776641,52726117
2007,3924268,53201346
2006,4366220,49918578
2005,4321272,46862978
2004,4229625,44554268
2003,4510469,41968666
2002,5018777,41358394
2001,4879119,39825888
2000,5542217,41215653
1999,5637949,39759847
1998,5554390,37236644
