Year,Rest of the world,India,Europe,UK independent,UK studio-backed*,USA
2019,0.5%,1.2%,1.1%,12.9%,34.7%,50%
2018,0.3%,1.2%,1.1%,13.2%,32.9%,51.3%
2017,2.3%,1.1%,1.5%,9.6%,27.8%,57.7%
2016,0.8%,1.2%,3.2%,7.4%,28.5%,58.9%
2015,0.5%,1.3%,2.4%,10.5%,34.2%,51.1%
2014,1.1%,1.5%,4.9%,16.1%,10.7%,65.8%
2013,0.7%,1.4%,3%,6.6%,15.5%,72.7%
2012,0.6%,1.2%,4.8%,9.3%,22.8%,61.3%
2011,1%,1%,1.7%,13.1%,22.6%,60.6%
2010,0.8%,1.3%,2.1%,5.4%,18.6%,71.8%
2009,0.2%,1%,1.2%,8.2%,8.5%,81%
2008,0.3%,1.4%,2.3%,5.7%,25.4%,65.2%
2007,0.5%,1.6%,1.8%,6.8%,21.8%,67.7%
2006,0.7%,1.8%,1.2%,4.7%,14.4%,77.1%
2005,0.8%,1.5%,1.6%,6.9%,26.2%,63.1%
2004,1.8%,1.1%,0.6%,3.9%,19.5%,73.2%
2003,0.8%,1%,0.9%,3.4%,12.5%,81.6%
2002,0.5%,1%,0.7%,6.5%,16.1%,75.2%
2001,0.5%,1.2%,1.3%,3.8%,21.2%,72%
