Soccer clubs,Combined,Facebook,Twitter,Instagram,YouTube,TikTok
Flamengo,31477.26,12084.68,6671.44,8341.14,3380.0,1000.0
Corinthians,23589.12,11265.87,6080.52,4802.73,1170.0,270.0
São Paulo,15301.22,6668.53,4321.19,2912.5,1250.0,149.0
Palmeiras,11208.23,4409.03,3119.13,2350.07,1330.0,0.0
Santos,8513.86,3524.58,2830.82,1232.46,891.0,35.0
Grêmio,8288.99,3123.8,2777.16,1754.1,626.0,7.93
Vasco,7242.01,3093.82,2313.92,1239.66,517.0,77.6
Atlético Minas Gerais,7059.13,3189.19,2111.61,1501.03,247.0,10.3
Cruzeiro,7032.84,3075.91,2143.57,1445.56,266.0,101.8
Chapecoense,5762.33,3793.44,617.98,1308.71,29.3,12.9
