national parks and sites,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
National Park,64.62,62.61,64.88,63.51,68.93,75.29,82.9,84.05,85.88,89.82
National Recreation Area,49.04,47.37,44.68,44,45.22,46.23,50.33,52.11,51.02,52.11
National Memorial,30.8,30.64,35.44,34.33,36.03,40.54,41.64,40.1,38.11,37.65
National Historical Park,28.14,27.69,28.65,28.61,30.47,30.52,33.02,33.5,33.16,34.73
National Parkway,28.58,29.71,29.39,27.48,28.53,29.56,32.8,31.42,29.85,30.19
National Monument,23.01,23.02,21.79,18.66,24.45,24.89,25.73,26.33,22.18,22.41
National Seashore,18.12,18.8,18.88,18.66,18.55,18.71,19.8,18.47,18.33,20.27
National Historic Site,9.75,9.6,10.14,9.61,9.93,9.97,11.02,10.36,8.66,8.85
National River,4.77,4.31,4.33,4.12,4.46,4.69,5.17,5,4.92,4.87
National Military Park,4.57,5.05,5.07,5.05,4.44,4.55,4.81,4.7,4.35,4.38
National Preserve,2.63,2.9,2.89,2.93,3.23,3.35,3.54,3.45,3.43,4.01
National Battlefield Park,2.26,2.58,2.74,2.67,2.87,2.97,3.31,3.66,3.53,3.56
National Lakeshore,4.09,3.93,4.18,3.75,3.77,4.13,4.34,4.82,2.71,2.67
National Battlefield,1.77,1.78,1.99,1.75,1.84,1.91,2.05,1.96,1.86,2.1
National Wild & Scenic River,0.95,1.04,0.96,1.05,1.35,1.33,1.46,1.47,1.39,1.3
National Reserve,0.09,0.1,0.1,-,0.1,0.11,0.11,0.13,0.14,0.99
International Historic Site,-,-,-,-,-,-,-,-,-,0.11
Park (Other),8.13,7.76,6.65,7.34,8.64,8.5,8.94,9.33,8.69,8.49
