German cities,Bars,Dance clubs,Jazz & blues venues,Kareoke bars,Music venues,Piano bars,Pool halls
Cologne,2533,458,38,16,252,2,114
Berlin,2469,311,38,22,276,4,52
Frankfurt,2091,348,25,12,135,3,87
Leverkusen,1559,262,23,12,166,2,59
Solingen,1542,244,18,12,176,2,59
Mülheim,1268,199,10,8,127,2,97
Wuppertal,1153,192,13,8,149,2,74
Düsseldorf,1132,196,11,9,139,2,67
Essen,1191,186,10,7,113,2,98
Hamburg,1510,295,21,7,159,0,34
Munich,1108,183,19,4,130,6,33
Bonn,1119,194,18,7,90,2,30
Duisburg,1117,181,8,7,107,2,83
Lübeck,1514,280,20,6,153,0,28
Bochum,818,127,8,14,96,1,88
Hagen,599,87,11,18,74,2,60
Krefeld,899,172,7,7,100,2,51
Gelsenkirchen,841,127,8,14,90,0,83
Stuttgart,868,152,14,4,40,3,29
Potsdam,770,66,12,10,63,4,21
