Year,Confirmed cases,Recoveries,Deaths
12/26/20,779584,599541,10840
12/25/20,772104,593939,10763
12/24/20,764789,588280,10689
12/23/20,756586,582772,10613
12/22/20,750934,577544,10540
12/21/20,743697,572541,10469
12/20/20,735900,567743,10394
12/19/20,728637,562953,10317
12/18/20,722178,567028,10243
12/17/20,715241,551207,10171
12/16/20,708530,545430,10095
12/15/20,703502,539859,10022
12/14/20,698084,534552,9945
12/13/20,692210,529620,9870
12/12/20,685785,524779,9798
12/11/20,679163,518889,9722
12/10/20,671948,512969,9645
12/09/20,665218,507149,9571
12/08/20,660073,501403,9496
12/07/20,654841,495871,9425
12/06/20,647562,490844,9349
12/05/20,640050,485308,9277
12/04/20,632057,478724,9203
12/03/20,625189,471833,9126
12/02/20,617439,464984,9053
12/01/20,612248,458409,8978
11/30/20,605724,452184,8902
11/29/20,599213,447111,8828
11/28/20,592415,441535,8756
11/27/20,585095,434902,8680
11/26/20,577177,428418,8603
11/25/20,571102,422189,8530
11/24/20,566417,416242,8455
11/23/20,560579,410641,8379
11/22/20,553713,405577,8308
11/21/20,547138,400332,8233
11/20/20,539970,394252,8159
11/19/20,533068,388416,8082
11/18/20,526630,382634,8009
11/17/20,522456,377131,7933
11/16/20,516574,371857,7859
11/15/20,510214,367613,7787
11/14/20,503943,363347,7712
11/13/20,497516,358924,7643
11/12/20,491542,354705,7573
11/11/20,485545,350746,7502
11/10/20,481068,346889,7429
11/09/20,475166,343226,7361
11/08/20,468269,339913,7289
11/07/20,462518,336659,7215
11/06/20,456689,332984,7140
11/05/20,450436,329201,7071
11/04/20,445181,325531,7004
11/03/20,439355,321679,6936
11/02/20,434205,318032,6873
11/01/20,429409,314791,6820
10/31/20,424148,311450,6768
10/30/20,419196,307816,6713
10/29/20,413928,303831,6644
10/28/20,409022,300051,6578
10/27/20,405352,296474,6503
10/26/20,401040,293205,6442
10/25/20,395816,290524,6380
10/24/20,391361,287910,6312
10/23/20,386908,285271,6249
10/22/20,381430,282492,6187
10/21/20,377017,279973,6121
10/20/20,372628,277608,6058
10/19/20,367629,275648,6009
10/18/20,362253,273881,5958
10/17/20,357643,272227,5906
10/16/20,352995,270226,5850
10/15/20,347946,268423,5796
10/14/20,344004,266470,5739
10/13/20,339431,264500,5687
10/12/20,334813,262750,5629
10/11/20,330418,261619,5595
10/10/20,325917,260433,5560
10/09/20,321812,259127,5530
10/08/20,318111,257703,5497
10/07/20,314788,256362,5442
10/06/20,311559,255100,5401
10/05/20,307477,253944,5370
10/04/20,303940,253031,5343
10/03/20,300613,252087,5314
10/02/20,297729,251018,5282
10/01/20,295025,249861,5254
09/30/20,292601,248650,5230
09/29/20,290293,247301,5203
09/28/20,287993,246074,5180
09/27/20,285776,245132,5164
09/26/20,283760,244006,5146
09/25/20,281968,242883,5129
09/24/20,280408,241656,5115
09/23/20,279358,240352,5100
09/22/20,278388,239126,5084
09/21/20,277408,237935,5069
09/20/20,276493,236947,5057
09/19/20,275633,236055,5044
09/18/20,274808,235136,5033
09/17/20,274003,234029,5025
09/16/20,273273,232706,5016
09/15/20,272523,231483,5006
09/14/20,271793,230397,4993
09/13/20,271097,229573,4982
09/12/20,270447,228673,4968
09/11/20,269777,227530,4956
09/10/20,269079,226274,4947
09/09/20,268384,224840,4933
09/08/20,267742,223502,4921
09/07/20,267047,222252,4905
09/06/20,266357,221370,4891
09/05/20,265737,220407,4878
09/04/20,265066,219095,4867
09/03/20,264374,217899,4857
09/02/20,263684,216742,4844
09/01/20,263059,215383,4832
08/31/20,262418,214121,4821
08/30/20,261733,213205,4809
08/29/20,261038,212301,4798
08/28/20,260361,210908,4786
08/27/20,259707,209628,4776
08/26/20,259070,208193,4764
08/25/20,258430,206804,4753
08/24/20,257749,205649,4741
08/23/20,257124,204786,4731
08/22/20,256513,203821,4720
08/21/20,255826,202727,4710
08/20/20,255136,201567,4698
08/19/20,254448,200359,4687
08/18/20,253757,199117,4677
08/17/20,253064,197962,4666
08/16/20,252374,197143,4656
08/15/20,251686,196098,4645
08/14/20,250991,194823,4633
08/13/20,250303,193473,4622
08/12/20,249611,192686,4611
08/11/20,248922,191598,4599
08/10/20,248228,190555,4585
08/09/20,247534,189657,4572
08/08/20,246845,188854,4560
08/07/20,246154,187576,4546
08/06/20,245468,186223,4534
08/05/20,244784,184969,4521
08/04/20,244097,183640,4510
08/03/20,243406,182184,4498
