Quarter,ANGI Homeservices,Vimeo,Dotdash,Search,Emerging & Other,Match Group,Applications,Video,Publishing,Other
Q1 '16,111.5,-,-,-,-,260.4,159.8,55.1,166,66.5
Q2 '16,130.2,-,-,-,-,275.3,143.2,47.3,85.3,64.3
Q3 '16,133.6,-,-,-,-,287.5,142.8,60,74.9,65.5
Q4 '16,123.7,-,-,-,-,294.9,158.4,66.3,81.1,87
Q1 '17*,150.7,21.6,17.6,-,113.5,298.8,158.9,-,-,-
Q2 '17,180.7,23,20.7,-,89.7,309.6,144,-,-,-
Q3 '17,181.7,24.3,22.3,-,120.6,343.4,136.3,-,-,-
Q4 '17,223.2,34.5,30.4,-,144.9,378.9,138.8,-,-,-
Q1 '18,255.3,35.6,30,-,134.9,407.4,132,-,-,-
Q2 '18,294.8,39.6,30.8,-,129.8,421.2,143.1,-,-,-
Q3 '18,303.1,40.3,30.1,-,133.3,443.9,154,-,-,-
Q4 '18,279.0,44.2,40.2,-,130.2,457.3,153.3,-,-,-
Q1 '19,303.4,43.6,34,-,116.7,464.6,143.5,-,-,-
Q2 '19,343.9,45.7,37.7,-,128.5,498,132.9,-,-,-
Q3 '19,357.4,52.1,40.3,-,129.6,541.5,126.1,-,-,-
Q4 '19,321.5,54.6,55.6,-,122,547.2,116.9,-,-,-
Q1 '20,343.6,57,44.1,-,135.3,544.6,104.1,-,-,-
Q2 '20,375.1,67.3,44.6,131.3,108.1,-,-,-,-,-
Q3 '20,389.9,75.1,50.8,145.2,127.4,-,-,-,-,-
