Weekday,2020,2019
Dec 20,1064619,2519399
Dec 19,1073563,2487987
Dec 18,1066747,2608088
Dec 17,846934,2471408
Dec 16,641966,2234374
Dec 15,552024,2009112
Dec 14,752451,2250386
Dec 13,865014,2300248
Dec 12,662380,1893871
Dec 11,787489,2388029
Dec 10,754307,2362310
Dec 9,564372,2020488
Dec 8,501513,-
Dec 7,703546,-
Dec 6,837137,2292079
Dec 5,629430,1755801
Dec 4,753951,2278205
Dec 3,738050,2262878
Dec 2,632356,2054380
Dec 1,780283,2280403
Nov 30,981912,2591470
Nov 29,1176091,2882915
Nov 28,964630,2648268
Nov 27,820399,1968137
Nov 26,560902,1591158
Nov 25,1070967,2624250
Nov 24,912090,2435170
Nov 23,917354,2254188
Nov 22,1047934,2321546
Nov 21,984369,2194291
Nov 20,1019836,2550459
Nov 19,907332,2428095
Nov 18,703135,2071631
Nov 17,611497,1900895
Nov 16,883157,2298856
Nov 15,978297,2396681
Nov 14,697360,1807230
Nov 13,881579,2437211
Nov 12,866679,2364920
Nov 11,674633,2072207
Nov 10,596475,2150003
Nov 9,836600,2465392
Nov 8,973020,2356349
Nov 7,689951,1908805
Nov 6,895091,2544350
Nov 5,867105,2507365
Nov 4,636533,2147882
Nov 3,575829,2005101
Nov 2,846138,2403304
Nov 1,936092,2459525
Oct 31,618476,1836781
Oct 30,892712,2319906
Oct 29,873636,2047910
Oct 28,666957,2066516
Oct 27,648517,1910506
Oct 26,898735,2347017
Oct 25,983745,2478287
Oct 24,755287,1931971
Oct 23,958437,2594337
Oct 22,934386,2541581
Oct 21,694150,2245199
Oct 20,662484,2126637
Oct 19,921031,2514673
Oct 18,1031505,2606266
Oct 17,788743,2049855
Oct 16,973046,2637667
Oct 15,950024,2581007
Oct 14,717940,2317763
Oct 13,680894,2313632
Oct 12,958440,2616771
Oct 11,984234,2555333
Oct 10,769868,2074718
Oct 9,968545,2688032
Oct 8,936915,2605291
Oct 7,668519,2215233
Oct 6,590766,2035628
Oct 5,816838,2400153
Oct 4,900911,2542118
Oct 3,677661,1921185
Oct 2,857186,2526835
Oct 1,855908,2447687
Sep 30,634046,2082179
Sep 29,568688,1998980
Sep 28,797699,2368818
Sep 27,873038,2452596
Sep 26,659350,1966234
Sep 25,826329,2547611
Sep 24,826316,2510926
Sep 23,608726,2188236
Sep 22,549741,2033490
Sep 21,769936,2431388
Sep 20,847968,2517826
Sep 19,638575,1938402
Sep 18,812214,2571924
Sep 17,784746,2455410
Sep 16,577847,2146857
Sep 15,522383,2013050
Sep 14,729558,2405832
Sep 13,809850,2485134
Sep 12,613703,1879822
Sep 11,731353,2484025
Sep 10,755051,2449302
Sep 9,616923,2005867
Sep 8,704075,1943379
Sep 7,935308,2292985
Sep 6,689630,2370003
Sep 5,664640,1755502
Sep 4,968673,2198828
Sep 3,877698,2109858
Sep 2,578131,1889044
Sep 1,516068,2037750
Aug 31,711178,2278159
Aug 30,807695,1887845
Aug 29,591734,1954902
Aug 28,738873,2658558
Aug 27,721060,2561109
Aug 26,540043,2188688
Aug 25,526186,2015088
Aug 24,726788,2358007
Aug 23,841806,2493162
Aug 22,625822,2039233
Aug 21,764468,2559244
Aug 20,772380,2533184
Aug 19,586718,2306868
Aug 18,565946,2247446
Aug 17,773319,2576965
Aug 16,862949,2584444
Aug 15,689895,2171962
Aug 14,783744,2627564
Aug 13,761821,2602446
Aug 12,590749,2391906
Aug 11,559420,2306829
Aug 10,761861,2567986
Aug 9,831789,2647897
Aug 8,683212,2290340
Aug 7,762547,2725000
Aug 6,743599,2707986
Aug 5,595739,2430094
Aug 4,543601,2387115
Aug 3,737235,2619406
Aug 2,799861,2688640
Aug 1,709033,2367967
Jul 31,767320,2730936
Jul 30,718310,2742882
Jul 29,573200,2542365
Jul 28,536756,2438967
Jul 27,700043,2613346
Jul 26,751205,2700723
Jul 25,649027,2364925
Jul 24,724770,2732770
Jul 23,704815,2705399
Jul 22,570951,2561911
Jul 21,530421,2499460
Jul 20,695330,2635312
Jul 19,747422,2727355
Jul 18,646654,2396462
Jul 17,720378,2776960
Jul 16,706164,2716828
Jul 15,589285,2522563
Jul 14,540268,2447177
Jul 13,697985,2615115
Jul 12,754545,2669717
Jul 11,656284,2312178
Jul 10,711124,2716812
Jul 9,709653,2608209
Jul 8,632498,2515902
Jul 7,641761,2506859
Jul 6,755555,2748718
Jul 5,732123,2795369
Jul 4,466669,2345846
Jul 3,718988,2184253
Jul 2,764761,2088760
Jul 1,626516,2547889
Jun 30,500054,2347767
Jun 29,625235,2455536
Jun 28,633810,2632030
Jun 27,546310,2368846
Jun 26,632984,2730515
Jun 25,623624,2711222
Jun 24,494826,2594661
Jun 23,471421,2506510
Jun 22,607540,2716428
Jun 21,590456,2719643
Jun 20,507129,2378559
Jun 19,587908,2772903
Jun 18,576514,2728786
Jun 17,441829,2552395
Jun 16,417924,2466574
Jun 15,534528,2699580
Jun 14,544046,2642083
Jun 13,437119,2318946
Jun 12,519304,2727860
Jun 11,502209,2675686
Jun 10,386969,2509058
Jun 9,338382,2433189
Jun 8,430414,2664981
Jun 7,441255,2669860
Jun 6,353016,2225952
Jun 5,419675,2649808
Jun 4,391882,2623947
Jun 3,304436,2370152
Jun 2,267742,2247421
Jun 1,353261,2499002
May 31,352947,2555578
May 30,268867,2117180
May 29,327133,2570613
May 28,321776,2485770
May 27,261170,2269035
May 26,264843,2453649
May 25,340769,2512237
May 24,267451,2070716
May 23,253190,2124825
May 22,348673,2792670
May 21,318449,2673635
May 20,230367,2472123
May 19,190477,2312727
May 18,244176,2615691
May 17,253807,2620276
May 16,193340,2091116
May 15,250467,2664549
May 14,234928,2611324
May 13,176667,2343675
May 12,163205,2191387
May 11,215645,2512315
May 10,200815,2419114
May 9,169580,1985942
May 8,215444,2602631
May 7,190863,2555342
May 6,140409,2270662
May 5,130601,2106597
May 4,163692,2470969
May 3,170254,2512598
May 2,134261,1968278
May 1,171563,2546029
Apr 30,154695,2499461
Apr 29,119629,2256442
Apr 28,110913,2102068
Apr 27,119854,2412770
Apr 26,128875,2506809
Apr 25,114459,1990464
Apr 24,123464,2521897
Apr 23,111627,2526961
Apr 22,98968,2254209
Apr 21,92859,2227475
Apr 20,99344,2594171
Apr 19,105382,2356802
Apr 18,97236,1988205
Apr 17,106385,2457133
Apr 16,95085,2616158
Apr 15,90784,2317381
Apr 14,87534,2208688
Apr 13,102184,2484580
Apr 12,90510,2446801
Apr 11,93645,2059142
Apr 10,108977,2590499
Apr 9,104090,2487398
Apr 8,94391,2229276
Apr 7,97130,2091056
Apr 6,108310,2384091
Apr 5,122029,2462929
Apr 4,118302,2011715
Apr 3,129763,2476884
Apr 2,124021,2411500
Apr 1,136023,2151626
Mar 31,146348,2026256
Mar 30,154080,2360053
Mar 29,180002,2510294
Mar 28,184027,2172920
Mar 27,199644,2538384
Mar 26,203858,2487162
Mar 25,239234,2273811
Mar 24,279018,2151913
Mar 23,331431,2434370
Mar 22,454516,2542643
Mar 21,548132,2227181
Mar 20,593167,2559307
Mar 19,623608,2439912
Mar 18,785110,2249279
Mar 17,983226,2120419
Mar 16,1258772,2393485
Marn15,1519442,2475581
Mar 14,1486940,2208044
Mar 13,1716560,2559206
Mar 12,1790791,2428447
Mar 11,1705948,2117791
Mar 10,1619863,2053707
Mar 9,1911921,2306406
Mar 8,2121424,2415105
Mar 7,1850314,2090427
Mar 6,2203716,2471524
Mar 5,2133245,2333383
Mar 4,1885349,2080093
