William Shakespeare play,Comedy,History,Tragedy
Hamlet,-,-,30557
Richard III,-,29278,-
Coriolanus,-,-,27589
Cymbeline,-,-,27565
Othello,-,-,26450
King Lear,-,-,26145
Henry V,-,26119,-
Troilus and Cressida,-,-,26089
Henry IV - Part 2,-,25689,-
Henry VI - Part 2,-,25439,-
The Winter's Tale,24914,-,-
Antony and Cleopatra,-,-,24905
Henry VIII,-,24629,-
Henry IV - Part 1,-,24579,-
Romeo and Juliet,-,-,24545
Henry VI - Part 3,-,24294,-
All's Well That Ends Well,23009,-,-
Richard II,-,22423,-
The Merry Wives of Windsor,21845,-,-
Measure for Measure,21780,-,-
As You Like It,21690,-,-
Henry VI - Part 1,-,21607,-
Love's Labour's Lost,21459,-,-
The Merchant of Venice,21291,-,-
Much Ado About Nothing,21157,-,-
The Taming of the Shrew,21055,-,-
King John,-,20772,-
Titus Andronicus,-,-,20743
Twelfth Night,19837,-,-
Julius Caesar,-,-,19703
"Pericles, Prince of Tyre",-,18529,-
Timon of Athens,-,-,18216
The Two Gentlemen of Verona,17129,-,-
Macbeth,-,-,17121
The Tempest,16633,-,-
A Midsummer Night's Dream,16511,-,-
The Comedy of Errors,14701,-,-
