United States federal executive department,2020*,2021*
Department of Agriculture,231.2,230.1
Department of Commerce,514.3,378.1
Department of Defense,10075.0,9846.0
Department of Education,166.2,162.6
Department of Energy,550.4,665.6
Department of Health & Human Services,475.7,519.4
Department of Homeland Security,2574.1,2604.3
Department of Housing & Urban Development,68.2,69.0
Department of Justice,900.5,929.2
Department of Labor,92.2,89.1
Department of State,405.8,488.6
Department of the Interior,121.4,133.3
Department of the Treasury,588.4,688.8
Department of Transportation,262.1,249.2
Department of Veterans Affairs,524.6,460.4
Environmental Protection Agency,32.5,46.8
General Services Administration,82.4,79.2
National Aeronautics & Space Administration,166.6,163.8
National Science Foundation,226.3,212.0
Nuclear Regulatory Commission,27.5,26.9
Office of Personnel Management,47.1,53.8
Small Business Administration,15.7,16.1
Social Security Administration,207.6,205.0
U.S. Agency for International Developmen,42.5,43.3
Non-CFO Act Agencies,393.6,418.4
