Year,Men,Women
Rio 2016,102.15,115.28
London 2012,100.91,117.23
Beijing 2008,104.65,114.87
Athens 2004,104.45,116.38
Sydney 2000,105.08,116.15
Atlanta 1996,102.58,117.73
Barcelona 1992,103.66,115.54
Seoul 1988,103.55,116.1
Los Angeles 1984,103.0,117.6
Moscow 1980,105.4,113.5
Montreal 1976,103.5,114.94
Munich 1972,105.86,118.55
Mexico City 1968,104.3,120.9
Tokyo 1964,105.1,121.1
Rome 1960,106.3,124.3
Melbourne 1956,107.7,-
Helsinki 1952,109.2,-
London 1948,109.2,-
Berlin 1936,112.9,-
Los Angeles 1932,109.8,-
Amsterdam 1928,111.8,136.8
Paris 1924,112.4,-
Antwerp 1920,113.4,-
Stockholm 1912,111.9,-
London 1908,112.8,-
St. Louis 1904,116.0,-
Paris 1900,121.2,-
Athens 1896,131.0,-
