20 largest arms-producing and military services companies,Arms sales,Total sales
Lockheed Martin Corp. (US),47260,53762
Boeing (US),29150,101126
Northrop Grumman Corp. (US),26190,30095
Raytheon (US),23440,27058
General Dynamics Corp. (US),22000,36193
BAE Systems (UK),21210,22428
Airbus Group (Trans-European),11650,75195
Leonardo (Italy),9820,9403
Almaz-Antey (Russia),9640,9872
Thales (France),9470,18767
United Technologies Corp. (US),9310,66501
L-3 Communications (US),8250,10244
Huntington Ingalls Industries (US),7200,8176
Honeywell International (UK),5430,41802
United Aircraft Corp. (Russia),5420,6563
Leidos (US),5000,10194
Harris Corp (US),4970,6801
United Shipbuilding Corp. (Russia),4700,5565
Booz Allen Hamilton (US),4680,6704
Rolls-Royce (UK),4680,20972
