Year,Democrat,Republican
2020,56.88%,43.12%
2016,42.19%,56.69%
2012,61.71%,38.29%
2008,67.84%,32.16%
2004,46.66%,53.16%
2000,49.44%,50.37%
1996,70.45%,29.55%
1992,68.77%,31.23%
1988,20.63%,79.18%
1984,2.42%,97.58%
1980,9.11%,90.89%
1976,55.2%,44.61%
1972,3.16%,96.65%
1968,35.5%,55.95%
1964,90.33%,9.67%
1960,56.32%,40.78%
1956,13.75%,84.18%
1952,16.76%,83.24%
1948,57.06%,35.59%
1944,81.36%,18.64%
1940,84.56%,15.44%
1936,98.49%,1.51%
1932,88.89%,11.11%
1928,16.38%,83.62%
1924,25.61%,71.94%
1920,23.92%,76.08%
1916,52.16%,47.83%
1912*,81.92%,1.51%
1908,33.54%,66.46%
1904,34.68%,65.32%
1900,34.68%,65.32%
1896,39.37%,60.63%
1892,62.39%,32.66%
1888,41.9%,58.1%
1884,54.64%,45.39%
1880,42.01%,57.99%
1876,49.86%,50.14%
1872**,17.61%,81.25%
1868,27.21%,72.79%
1864***,9.01%,90.99%
1860****,27.72%,59.4%
