"Mine, Country (Company)",Possible production,Target capacity
"VNC Goro, New Caledonia (Vale)",35,60
"Onca Puma, Brazil (Vale)",20,58
"Ravensthorpe, Australia (First Quantum)*",33,40
"Barro Alto, Brazil (Anglo American)",37,41
"Ambatovy, Madagascar (Sherritt et al.)",45,60
"Ramu, Papua New Guinea (MCC et al.)",25,31
"Koniambo, New Caledonia (Xstrata)",50,60
"Taguang, Myanmar (CNFMM et al.)",18,22
"Taganito, Philippines (Sumitomo et al.)",25,30
"Sotkamo, Finland (Talvivaara)",25,50
"Santa Rita, Brazil (Mirabela)",23,24
"Kevitsa, Finland (First Quantum)",11,11
"Nunavik, Canada (Jien Canada)",18,17
"Eagle, U.S. (Rio Tinto)",10,16
