Month and year,Imports,Exports
May20,167.26,134.11
Apr20,137.45,156.33
Mar20,209.93,99.5
Feb20,181.88,80.96
Jan20,182.43,241.84
Dec19,273.35,181.89
Nov19,165.72,190.6
Oct19,211.13,193.03
Sep19,159.14,544.05
Aug19,228.19,455.43
Jul19,219.73,491.77
Jun19,218.19,206.83
May19,241.53,106.92
Apr19,145.02,61.94
Mar19,157.75,156.48
Feb19,111.25,72.49
Jan19,163.57,45.32
Dec18,149.27,86.5
Nov18,195.79,168.7
Oct18,151.87,288.22
Sep18,198.14,483.59
Aug18,207.04,477.32
Jul18,202.08,538.36
Jun18,195.72,144.78
May18,176.01,56.33
Apr18,79.85,87.79
Mar18,90.28,109.43
Feb18,103.38,36.32
Jan18,144.91,82.59
Dec17,110.78,92.53
Nov17,137.11,232.47
Oct17,160.02,292.51
Sep17,165.41,504.06
Aug17,127.81,530.26
Jul17,207.72,511.56
Jun17,179.0,92.91
May17,184.82,85.95
Apr17,78.87,106.27
Mar17,143.08,64.45
Feb17,155.34,81.45
Jan17,79.86,57.4
