Year,Cerebrovascular diseases,Chronic lower respiratory diseases,Dementia and Alzheimer disease,Influenza and pneumonia,Ischaemic heart diseases,"Malignant neoplasm of trachea, bronchus and lung"
2018,15437,17988,26579,14708,40214,18587
2017,15472,17821,25880,13746,40789,18825
2016,15991,17671,23572,13677,40117,19328
2015,16519,17910,22794,14460,41778,19164
2014,16199,16384,19179,12334,41195,19569
2013,16222,16941,18222,13463,42885,19488
2012,16153,16253,16792,13132,42677,19304
2011,16468,15291,14453,13019,43040,19604
2010,19244,14723,13288,14025,46430,19426
2009,19133,14933,12148,14775,47149,19746
2008,20323,15553,12128,15129,49473,19883
2007,18308,14727,10638,14819,51386,19118
2006,21264,14707,9538,15091,52594,19637
2005,21862,15333,9084,15986,56135,19473
2004,22969,15143,8958,15648,58565,19502
2003,24930,16445,9145,17355,62400,19792
2002,25538,15815,9135,16284,64473,20270
2001,25208,15674,8890,15985,66399,20437
