Month,Chrome,Firefox,Safari,Edge,Edge (legacy),Opera,Internet Explorer
Sep 20,47.72%,23.08%,10.29%,7.76%,1.75%,3.92%,4.43%
Jul 20,48.86%,22.27%,9.94%,5.8%,3.12%,4.34%,4.29%
May 20,47.41%,22.5%,10.84%,1.2%,8.59%,4.31%,3.99%
Mar 20,44.65%,25.51%,11.55%,0.6%,8.01%,4.29%,4.35%
Jan 20,44.86%,25.35%,11.21%,0.02%,8.2%,3.94%,5.34%
Nov 19,44.74%,25.5%,11.38%,-,7.61%,3.68%,5.98%
Sep 19,44.17%,25.5%,8.78%,-,7.49%,3.91%,9.06%
Jul 19,47.16%,25.47%,6.93%,-,7.29%,3.72%,8.31%
May 19,45.54%,26.68%,7.52%,-,7.54%,3.86%,7.82%
Mar 19,44.6%,26.09%,7.74%,-,7.58%,4.05%,8.96%
Jan 19,45.72%,26.09%,7.32%,-,7.13%,3.71%,9.04%
Nov 18,50.88%,23.91%,6.71%,-,6.31%,3.14%,8.28%
Sep 18,41.89%,28.53%,7.38%,-,7.21%,3.72%,10.22%
Jul 18,38.9%,29.38%,7.2%,-,7.22%,3.87%,12.5%
May 18,40.69%,29.22%,7.33%,-,7.19%,3.84%,10.52%
Maz 18,40.08%,29.55%,7.63%,-,7.31%,3.67%,10.7%
Jan 18,39.23%,29.94%,7.95%,-,7.11%,3.64%,10.88%
Nov 17,38.22%,31.11%,7.9%,-,6.63%,3.78%,10.99%
Sep 17,33.53%,35.68%,7.38%,-,6.2%,4.54%,11.55%
Jul 17,33.83%,35.21%,7.53%,-,6.31%,3.85%,12.02%
May 17,34.56%,35.65%,7.32%,-,5.8%,3.77%,11.34%
Mar 17,33.13%,37.3%,6.95%,-,5.56%,3.51%,11.95%
Jan 17,33.91%,37.15%,6.97%,-,5.45%,2.62%,12.23%
Nov 16,34.82%,37.03%,6.75%,-,4.6%,3.12%,11.89%
Sep 16,34.76%,37.52%,6.24%,-,4.58%,2.5%,13.06%
Jul 16,33.89%,37.88%,6.17%,-,4.24%,2.46%,14.14%
May 16,34.74%,38.03%,6.2%,-,3.54%,2.78%,13.55%
Mar 16,33.81%,38.3%,5.98%,-,3.04%,2.91%,14.59%
Jan 16,33.64%,38.36%,6.22%,-,2.61%,2.98%,14.99%
Nov 15,32.66%,39.08%,6.13%,-,1.81%,2.84%,16.26%
Sep 15,29.76%,41.98%,5.73%,-,1.39%,3.04%,17.01%
Jul 15,28.28%,43.55%,5.27%,-,0.07%,3.09%,18.74%
May 15,28.46%,44.21%,5.59%,-,-,3.08%,17.61%
Mar 15,28.56%,43.85%,5.89%,-,-,3.08%,17.58%
Jan 15,27.11%,44.44%,5.65%,-,-,3.17%,18.61%
Nov 14,27.67%,45.54%,5.59%,-,-,2.79%,17.43%
Sep 14,27.63%,45.75%,5.21%,-,-,2.74%,17.64%
Jul 14,27.62%,46.59%,5.12%,-,-,2.69%,16.94%
May 14,27.04%,46.56%,5.53%,-,-,2.57%,17.3%
Mar 14,25.81%,46.5%,5.55%,-,-,2.57%,18.48%
Jan 14,25.81%,45.49%,5.5%,-,-,2.48%,18.96%
Nov 13,24.39%,41.98%,5.02%,-,-,2.25%,24.46%
Sep 13,24.1%,45.77%,5.11%,-,-,2.27%,20.81%
Jul 13,24.54%,46.82%,4.95%,-,-,2.31%,19.38%
May 13,24.26%,48.8%,4.83%,-,-,2.16%,18.59%
Mar 13,21.53%,46.95%,4.51%,-,-,2.17%,23.72%
Jan 13,20.96%,47.06%,4.67%,-,-,2.06%,24.3%
Nov 12,20.25%,49.96%,4.72%,-,-,2.46%,21.68%
Sep 12,17.98%,48.85%,4.59%,-,-,3.27%,24.35%
Jul 12,16.8%,48.24%,6.2%,-,-,3.34%,23.89%
May 12,15.92%,50.06%,6.03%,-,-,3.49%,23.14%
Mar 12,15.23%,50.01%,5.63%,-,-,3.39%,24.76%
Jan 12,14.32%,50.98%,5.46%,-,-,3.34%,24.83%
Nov 11,12.95%,52.26%,4.93%,-,-,3.7%,25.16%
Sep 11,10.64%,51.02%,4.31%,-,-,3.59%,29.55%
Jul 11,10.62%,54.59%,4.46%,-,-,3.73%,25.67%
May 11,11.28%,58.09%,4.51%,-,-,3.44%,21.87%
Mar 11,10.36%,58.65%,4.48%,-,-,3.59%,22.24%
Jan 11,8.86%,60.92%,4.74%,-,-,3.61%,21.19%
Nov 10,7.49%,62.25%,4.45%,-,-,3.54%,21.61%
Sep 10,6.34%,61.46%,4.12%,-,-,4.23%,23.09%
Jul 10,5.05%,58.99%,3.81%,-,-,4.7%,26.33%
May 10,4.38%,59.8%,3.6%,-,-,4.64%,26.4%
Mar 10,3.68%,60.31%,3.52%,-,-,4.36%,26.95%
Jan 10,3.14%,60.87%,3.31%,-,-,4.41%,26.74%
Nov 09,2.53%,59.21%,2.97%,-,-,4.43%,29.27%
Sep 09,2.08%,59.48%,2.93%,-,-,4.4%,29.68%
Jul 09,1.94%,61.15%,2.66%,-,-,4.08%,28.99%
May 09,1.5%,60.04%,2.13%,-,-,4.24%,30.69%
Mar 09,0.91%,58.59%,2.04%,-,-,4.04%,33.21%
Jan 09,0.81%,58.31%,1.97%,-,-,3.99%,33.63%
