Top goal scorer(s),Premier League,First Division
"2020/21*** - Dominic Calvert-Lewin (Everton), Mohamed Salah (Liverpool), Son Heung-Min (Tottenham)",11,-
2019/20 - Jamie Vardy (Leicester),23,-
"2018/19  - Pierre-Emerick Aubameyang (Arsenal), Sadio Mané, Mohamed Salah (Liverpool)",22,-
2017/18 Mohamed Salah (Liverpool),32,-
2016/17 Harry Kane (Tottenham),29,-
2015/16 Harry Kane (Tottenham),25,-
2014/15 Sergio Agüero (Man City),26,-
2013/14 Luis Suárez (Liverpool),31,-
2012/13 Robin van Persie (Man Utd),26,-
2011/12 Robin van Persie (Arsenal),30,-
"2010/11 Dimitar Berbatov (Man Utd), Carlos Tevez (Man City)",20,-
2009/10 Didier Drogba (Chelsea),29,-
2008/09Nicolas Anelka (Chelsea),19,-
2007/08 Cristiano Ronaldo (Man Utd),31,-
2006/07 Didier Drogba (Chelsea),20,-
2005/06 Thierry Henry (Arsenal),27,-
2004/05 Thierry Henry (Arsenal),25,-
2003/04 Thierry Henry (Arsenal),30,-
2002/03 Ruud van Nistelrooy (Man Utd),25,-
2001/02 Thierry Henry (Arsenal),24,-
2000/01 Jimmy Floyd Hasselbaink (Chelsea),23,-
1999/00 Kevin Phillips (Sunderland),30,-
1998/99 Jimmy Floyd Hasselbaink (Leeds),18,-
"1997/98  - Dion Dublin (Coventry), Michael Owen (Liverpool), Chris Sutton (Blackburn)",18,-
1996/97 Alan Shearer (Newcastle),25,-
1995/96 Alan Shearer (Blackburn),31,-
1994/95 Alan Shearer (Blackburn),34,-
1993/94 Andy Cole (Man Utd),34,-
1992/93 Teddy Sheringham** (Forest/Tottenham),22,-
1991/92 Ian Wright** (Arsenal/Palace),-,29
1990/91 Alan Smith (Arsenal),-,23
1989/90 Gary Linekar (Tottenham),-,24
1988/89 Alan Smith (Arsenal),-,23
1987/88 John Aldridge (Liverpool),-,26
1986/87 Clive Allen (Tottenham),-,33
1985/86 Gary Linekar (Everton),-,30
"1984/85 Kerry Dixon (Chelsea), Gary Linekar (Leicester)",-,24
1983/84 Ian Rush (Liverpool),-,32
1982/83 Luther Blissett (Watford),-,27
1981/82 Kevin Keegan (Southampton),-,26
"1980/81 Peter Withe (Aston Villa), Steve Archibald (Tottenham)",-,20
1979/80 Phil Boyer (Southampton),-,23
1978/79 Frank Worthington (Bolton),-,24
1977/78 Bob Latchford (Everton),-,30
"1976/77 Malcolm Macdonald (Arsenal), Andy Gray (Aston Villa)",-,25
1975/76 Ted MacDougall (Norwich),-,23
1974/75 Malcolm Macdonald (Newcastle),-,21
1973/74 Mick Channon (Southampton),-,21
1972/73 Pop Robson (West Ham),-,28
1971/72 Francis Lee (Man City),-,33
1970/71 Tony Brown (West Brom),-,28
1969/70 Jeff Astle (West Brom),-,25
1968/69 Jimmy Greaves (Tottenham),-,27
"1967/68 Ron Davies (Southampton), George Best (Man Utd)",-,28
1966/67 Ron Davies (Southampton),-,37
1965/66 Willie Irvine (Burnley),-,29
"1964/65 Jimmy Greaves (Tottenham), Andy McEvoy (Blackburn)",-,29
1963/64 Jimmy Greaves (Tottenham),-,35
1962/63 Jimmy Greaves (Tottenham),-,37
