main underserved airline routes,Non-stop bookings,One-stop bookings
Boston (BOS) - Orlando (MCO),713189,209558
Boston (BOS) - Las Vegas (LAS),285224,203599
Orlando (MCO) - Seattle/Tacoma (SEA),124628,199336
Boston (BOS) - San Francisco (SFO),1011472,177621
Boston (BOS) - Los Angeles (LAX),928078,168790
Boston (BOS) - Tampa (TPA),325465,168627
Los Angeles (LAX) - Philadelphia (PHL),257174,165659
Las Vegas (LAS) - Orlando (MCO),272746,163481
Atlanta (ATL) - Los Angeles (LAX),784512,162698
Los Angeles (LAX) - New York La Guardia (LGA),11507,159051
