Country,Not a moral issue,Acceptable,Unacceptable
Pakistan,2%,1%,94%
Palestinian ter.,9%,1%,89%
Indonesia,8%,2%,85%
Jordan,12%,3%,85%
Tunisia,6%,5%,85%
El Salvador,8%,8%,82%
Ghana,8%,8%,80%
Egypt,13%,5%,75%
Malaysia,15%,10%,70%
Bolivia,12%,13%,69%
Turkey,17%,10%,69%
Nigeria,17%,6%,68%
India,16%,10%,66%
Senegal,24%,9%,63%
Kenya,24%,9%,59%
Uganda,14%,19%,57%
Lebanon,21%,25%,51%
Brazil,20%,29%,47%
Russia,13%,26%,44%
Argentina,27%,26%,42%
China,37%,12%,41%
Mexico,31%,21%,41%
Philippines,24%,34%,39%
Venezuela,17%,36%,39%
South Africa,25%,22%,36%
Chile,31%,29%,31%
Israel,39%,27%,29%
Italy,49%,15%,27%
Greece,47%,22%,23%
Czech Republic,24%,46%,22%
Spain,46%,27%,22%
South Korea,35%,34%,22%
France,56%,25%,18%
Poland,34%,37%,17%
United States,46%,32%,16%
Germany,40%,41%,14%
Australia,46%,36%,10%
Canada,57%,31%,9%
Britain,47%,38%,9%
Japan,25%,66%,6%
