Year,Generation Alpha,Generation Z,Millennials,Generation X,Baby Boomers,Silent Generation,Greatest Generation
0,722881,-,-,-,-,-,-
1,752554,-,-,-,-,-,-
2,777309,-,-,-,-,-,-
3,802334,-,-,-,-,-,-
4,802185,-,-,-,-,-,-
5,809152,-,-,-,-,-,-
6,827149,-,-,-,-,-,-
7,-,852059,-,-,-,-,-
8,-,838680,-,-,-,-,-
9,-,822812,-,-,-,-,-
10,-,813774,-,-,-,-,-
11,-,820269,-,-,-,-,-
12,-,793405,-,-,-,-,-
13,-,777849,-,-,-,-,-
14,-,748569,-,-,-,-,-
15,-,736855,-,-,-,-,-
16,-,717056,-,-,-,-,-
17,-,708482,-,-,-,-,-
18,-,733067,-,-,-,-,-
19,-,761508,-,-,-,-,-
20,-,797247,-,-,-,-,-
21,-,811223,-,-,-,-,-
22,-,842201,-,-,-,-,-
23,-,-,850411,-,-,-,-
24,-,-,851998,-,-,-,-
25,-,-,879406,-,-,-,-
26,-,-,882616,-,-,-,-
27,-,-,911206,-,-,-,-
28,-,-,928979,-,-,-,-
29,-,-,912042,-,-,-,-
30,-,-,903442,-,-,-,-
31,-,-,912000,-,-,-,-
32,-,-,889687,-,-,-,-
33,-,-,896728,-,-,-,-
34,-,-,895275,-,-,-,-
35,-,-,872653,-,-,-,-
36,-,-,879070,-,-,-,-
37,-,-,877449,-,-,-,-
38,-,-,883170,-,-,-,-
39,-,-,-,883325,-,-,-
40,-,-,-,848120,-,-,-
41,-,-,-,790679,-,-,-
42,-,-,-,778814,-,-,-
43,-,-,-,793909,-,-,-
44,-,-,-,808017,-,-,-
45,-,-,-,822075,-,-,-
46,-,-,-,858311,-,-,-
47,-,-,-,895065,-,-,-
48,-,-,-,924065,-,-,-
49,-,-,-,902606,-,-,-
50,-,-,-,924754,-,-,-
51,-,-,-,924666,-,-,-
52,-,-,-,936289,-,-,-
53,-,-,-,934335,-,-,-
54,-,-,-,940971,-,-,-
55,-,-,-,-,930783,-,-
56,-,-,-,-,909684,-,-
57,-,-,-,-,888131,-,-
58,-,-,-,-,856779,-,-
59,-,-,-,-,820531,-,-
60,-,-,-,-,801220,-,-
61,-,-,-,-,782729,-,-
62,-,-,-,-,752215,-,-
63,-,-,-,-,723647,-,-
64,-,-,-,-,695374,-,-
65,-,-,-,-,694374,-,-
66,-,-,-,-,682311,-,-
67,-,-,-,-,659691,-,-
68,-,-,-,-,661251,-,-
69,-,-,-,-,670572,-,-
70,-,-,-,-,683532,-,-
71,-,-,-,-,714929,-,-
72,-,-,-,-,768023,-,-
73,-,-,-,-,588245,-,-
74,-,-,-,-,-,564138,-
75,-,-,-,-,-,556173,-
76,-,-,-,-,-,511519,-
77,-,-,-,-,-,451509,-
78,-,-,-,-,-,400077,-
79,-,-,-,-,-,406018,-
80,-,-,-,-,-,393605,-
81,-,-,-,-,-,372612,-
82,-,-,-,-,-,344104,-
83,-,-,-,-,-,316201,-
84,-,-,-,-,-,288806,-
85,-,-,-,-,-,255542,-
86,-,-,-,-,-,230667,-
87,-,-,-,-,-,210077,-
88,-,-,-,-,-,186163,-
89,-,-,-,-,-,159641,-
90,-,-,-,-,-,134630,-
91,-,-,-,-,-,110070,-
92,-,-,-,-,-,-,90540
93,-,-,-,-,-,-,72480
94,-,-,-,-,-,-,56440
95,-,-,-,-,-,-,42930
96,-,-,-,-,-,-,31980
97,-,-,-,-,-,-,23650
98,-,-,-,-,-,-,17080
99,-,-,-,-,-,-,12050
100,-,-,-,-,-,-,5150
101,-,-,-,-,-,-,3130
102,-,-,-,-,-,-,2090
103,-,-,-,-,-,-,1310
104,-,-,-,-,-,-,790
105+,-,-,-,-,-,-,860
