Response,Average guess,Actual rates
Japan,27%,47.1%
New Zealand,29%,41.5%
Hong Kong,14%,38.4%
Australia,30%,35.3%
South Korea,13%,34.1%
Denmark,15%,30.1%
Great Britain,25%,28.4%
Poland,15%,28.2%
Netherlands,16%,27.6%
Belgium,21%,27.3%
Singapore,18%,27%
Canada,26%,26.5%
Norway,21%,26%
Hungary,12%,23.7%
Germany,18%,23.1%
Sweden,25%,21.7%
Chile,22%,20.7%
USA,24%,19.3%
Russia,15%,18.8%
France,24%,16.9%
Spain,16%,15.9%
Argentina,19%,15.3%
Italy,20%,13.6%
Serbia,12%,13%
Israel,16%,11.1%
Montenegro,12%,8.8%
Mexico,26%,8.5%
Turkey,20%,6.6%
Colombia,24%,5.5%
Peru,22%,4.3%
Philippines,22%,4.3%
Brazil,29%,3.3%
South Africa,27%,1.1%
