 leading insurance companies,2015,2016,2017,2018,2019
AG Insurance,20.8%,22.4%,21%,21.7%,22.7%
AXA,14.2%,12.5%,12.5%,12.1%,12%
KBC,8.7%,10.1%,9.4%,8.8%,9%
Ethias,9%,9%,9.1%,9.3%,8.8%
Belfius,6.1%,5.6%,6.4%,6.8%,6.3%
P&V,5.9%,5.9%,6%,5.7%,5.7%
Allianz,5.4%,4.5%,5.5%,5.3%,5.6%
Baloise,4.8%,5.1%,5%,4.9%,5%
NN,1.9%,4.7%,4.4%,4.9%,4.4%
ERGO - DKV - DAS,4%,4%,3.8%,3.6%,3.4%
Athora,-,-,-,-,2.2%
Argenta,3.1%,2.2%,2.7%,2.5%,2.1%
Federale,1.2%,1.4%,1.4%,1.5%,1.8%
Fidea,0.9%,0.9%,1.1%,1.1%,1%
Credimo,-,-,-,1.1%,0.8%
Foyer,-,-,0.7%,-,-
Integrale,-,0.8%,-,-,-
Delta Lloyd,3.3%,-,-,-,-
Generali,2.3%,2.8%,2.6%,2.7%,-
