Response,Traditional agencies with $3m to $10m revenue,Traditional agencies with $10m plus revenue,"Home-based agents with $250,000 plus revenue"
Familiarization trips,58%,51%,65%
Educational programs,48%,55%,56%
Email updates on special offers,51%,39%,46%
Overrides / incentives,57%,68%,49%
Agent portion of websites,34%,30%,39%
Consumer referrals,20%,33%,30%
Co-op marketing efforts,29%,38%,19%
Co-op advertising,34%,23%,14%
Trade publication offers,12%,11%,13%
Mail updates on special offers,10%,8%,12%
Social media co-op,7%,13%,8%
