Year,Men,Women
Rio 2016,37.27,41.01
London 2012,36.84,40.82
Beijing 2008,38.06,42.54
Athens 2004,38.07,41.73
Sydney 2000***,37.61,41.95
Atlanta 1996,37.69,41.95
Barcelona 1992,37.4,42.11
Seoul 1988* **,38.19,41.98
Los Angeles 1984,37.83,41.65
Moscow 1980,38.26,41.6
Montreal 1976,38.33,42.55
Munich 1972,38.19,42.81
Mexico City 1968,38.2,42.8
Tokyo 1964,39.0,43.6
Rome 1960,39.5,44.5
Melbourne 1956,39.5,44.5
Helsinki 1952,40.1,45.9
London 1948,40.6,47.5
Berlin 1936,39.8,46.9
Los Angeles 1932,40.0,47
Amsterdam 1928,41.0,48.4
Paris 1924,41.0,-
Antwerp 1920,42.2,-
Stockholm 1912,42.4,-
