week,Temporarily laid off,Unemployed
Week 48,4004,4323
Week 47,3976,5722
Week 46,3784,6048
Week 45,4897,7114
Week 44,5150,10187
Week 43,4790,5734
Week 42,6590,6126
Week 41,4981,6811
Week 40,7314,12705
Week 39,4344,6413
Week 38,4967,6607
Week 37,4872,6622
Week 36,7865,14099
Week 35,4106,6772
Week 34,3887,5912
Week 33,4091,6537
Week 32,5942,6386
Week 31,6498,9457
Week 30,4391,4518
Week 29,4349,5151
Week 28,5699,5678
Week 27,14722,14643
Week 26,10578,7611
Week 25,8327,8886
Week 24,7165,5398
Week 23,17250,24581
Week 22,8952,18750
Week 21,10850,6206
Week 20,11450,6679
Week 19,18140,7397
Week 18,18351,12082
Week 17,19610,7088
Week 16,28126,8707
Week 15,32859,9271
Week 14,54252,18429
Week 13,30315,10913
Week 12,8259,13624
