Response,Parents of online teens,Online teens
Preventing identity theft,50%,55%
Keeping my devices secure,48%,41%
"How to identify fake emails, social posts, and texts",37%,39%
How to determine if a website is secure,36%,35%
How to report serious problems I encounter online,35%,25%
"How young people are lured, groomed, or recruited online",34%,27%
How to manage my privacy online,33%,32%
Dealing with a bully,33%,30%
Blocking people,31%,30%
Risks of sexting,31%,30%
Adjusting settings on social networks,29%,21%
How to begin a conversation with (kids/my parents) about staying safe online,16%,17%
