Quarter,Online stores,Physical stores,Retail third-party seller services,Subscription services,AWS,Other
Q4 '17,35383,4522,10523,3177,5113,1735
Q1 '18,26939,4263,9265,3102,5442,2031
Q2 '18,27165,4312,9702,3408,6105,2194
Q3 '18,29061,4248,10395,3698,6679,2495
Q4 '18,39822,4401,13383,3959,7430,3388
Q1 '19,29498,4307,11141,4342,7696,2716
Q2 '19,31053,4330,11962,4676,8381,3002
Q3 '19,35039,4192,13212,4957,8995,3586
Q4 '19,45657,4363,17446,5235,9954,4782
Q1 '20,36652,4640,14479,5556,10219,3906
Q2 '20,45896,3774,18195,6018,10808,4221
Q3 '20,48350,3788,20436,6572,11601,5398
