Quarter,BT Consumer,BT Enterprise,BT Global Services,Openreach,BT Wholesale,EE,Other
Q1 2012/13,959,849,1731,1270,678,-,19
Q2 2012/13,952,870,1757,1283,616,-,19
Q3 2012/13,953,875,1748,1286,645,-,21
Q4 2012/13,982,922,1934,1276,669,-,42
Q1 2013/14,950,785,1752,1245,638,-,18
Q2 2013/14,987,799,1743,1271,624,-,18
Q3 2013/14,1014,808,1847,1274,589,-,14
Q4 2013/14,1068,821,1927,1271,571,-,32
Q1 2014/15,1046,762,1647,1245,525,-,19
Q2 2014/15,1056,789,1649,1245,529,-,16
Q3 2014/15,1014,808,1847,1274,589,-,14
Q4 2014/15,1100,805,1789,1266,571,-,18
Q1 2015/16,1074,749,1543,1249,530,-,16
Q2 2015/16,1127,781,1599,1267,520,-,19
Q3 2015/16,1205,779,1675,1294,527,-,21
Q4 2015/16,1192,821,1753,1290,509,-,17
Q1 2016/17,1175,1165,1250,1236,453,1243,3
Q2 2016/17,1251,1178,1409,1232,440,1277,1
Q3 2016/17,1262,1195,1399,1258,448,1311,2
Q4 2016/17,1246,1220,1422,1258,454,1259,4
Q1 2017/18,2539,1648,1246,1287,429,1291,2
Q2 2017/18,2580,1680,1265,1299,430,1326,4
Q3 2017/18,2653,1681,1265,1379,425,1357,2
Q4 2017/18,2543,1708,1243,1320,424,1320,2
Q1 2018/19,2570,1561,1147,1255,459,-,1
Q2 2018/19,2654,1603,1185,1293,470,-,1
Q3 2018/19,2757,1552,1202,1256,-,-,2
Q4 2018/19,2610,1559,1201,1271,-,-,1
Q1 2019/20,2550,1483,1085,1268,-,-,1
Q2 2019/20,2644,1504,1111,1268,-,-,-
Q3 2019/20,2701,1458,1084,1281,-,-,-
Q4 2019/20,2493,1507,1081,1295,-,-,-
