Response,2000,2012
Recycled,73%,92%
Supported local shops/suppliers,61%,74%
Talked to friends/family about a company's behavior,58%,55%
Avoided product/service on basis of company's responsible reputation,44%,50%
Chose product/service on basis of company's responsible reputation,51%,50%
Bought primarily for ethical reasons,27%,42%
Recommended a company on basis of company's responsible reputation,52%,41%
Actively sought information on company's responsible reputation,24%,33%
Felt guilty about unethical purchase,17%,31%
Actively campaigned on environmental/social issues,15%,24%
