Month and year,Imports,Exports
May20,195.52,199.85
Apr20,202.83,224.57
Mar20,312.47,347.52
Feb20,283.6,310.26
Jan20,260.62,292.28
Dec19,288.1,273.16
Nov19,268.93,300.87
Oct19,257.9,340.96
Sep19,306.44,303.95
Aug19,321.07,338.43
Jul19,319.99,328.7
Jun19,306.27,308.45
May19,274.04,346.63
Apr19,313.46,322.31
Mar19,327.38,312.74
Feb19,261.72,272.34
Jan19,271.12,304.87
Dec18,296.4,285.51
Nov18,269.84,324.53
Oct18,302.4,350.62
Sep18,242.15,309.98
Aug18,310.21,324.58
Jul18,328.51,278.03
Jun18,316.33,332.74
May18,299.4,328.95
Apr18,300.19,313.7
Mar18,256.87,327.21
Feb18,217.56,284.51
Jan18,295.36,295.33
Dec17,277.0,269.15
Nov17,278.82,306.35
Oct17,265.51,295.3
Sep17,272.82,286.18
Aug17,321.68,306.89
Jul17,334.23,286.72
Jun17,276.38,359.45
May17,297.81,350.03
Apr17,276.33,318.52
Mar17,304.79,386.93
Feb17,246.94,327.65
Jan17,244.97,342.86
