Year,Single,Married,Divorced,Widowed,In civil partnership
2019,28194407,24118838,3924058,3113715,88822
2018,28037103,24116565,3804784,3069538,87817
2017,27553734,24247548,3699446,3144444,99423
2016,27430378,24062507,3770430,3028870,89032
2015,27161413,23733162,3815214,3079377,96248
2014,26644909,23838097,3801995,3008164,115491
2013,26384831,23516299,3730643,3192610,123847
2012,26126393,23351825,3821323,3148134,120121
2011,26029479,23123923,3776648,3119765,121112
2010,25433695,23285841,3700872,3188332,83683
2009,25143843,23193525,3598748,3219206,79931
2008,24889122,23105056,3503166,3268830,75546
2007,24503235,23120897,3410031,3287352,65877
2006,24206014,23066569,3370687,3283515,24069
2005,23815246,23155488,3289944,3314665,-
2004,23528600,22999978,3231047,3392397,-
2003,23248375,23046141,3174557,3394165,-
2002,22944481,23088100,3139516,3430046,-
