Year,Due to the difficult living conditions or personal situation of a pregnant woman,Because of a threat to mother's life or health,As a result of prenatal tests,"As a result of a criminal act (e.g. rape, incest)"
2019,0,33,1074,3
2018,0,25,1050,1
2017,0,22,1039,0
2016,0,55,1042,1
2015,0,43,996,1
2014,0,48,921,2
2013,0,23,718,3
2012,0,50,701,1
2011,0,49,620,0
2010,0,27,614,0
2009,0,27,510,1
2008,0,32,467,0
2007,0,37,287,2
2006,0,82,246,11
2005,0,54,168,3
2004,0,62,128,3
2003,0,59,112,3
2002,0,71,82,6
2001,0,63,56,5
2000,0,81,55,2
1999,0,94,50,1
1998,0,211,46,53
1997,0,409,107,7
1996,0,442,39,8
1995,0,515,33,7
1994,0,689,74,19
