Response,Germany,United Kingdom,United States
5/31,75%,86%,79%
5/30,69%,86%,69%
5/29,71%,83%,75%
5/28,71%,86%,74%
5/27,70%,85%,80%
5/26,74%,87%,76%
5/25,76%,83%,73%
5/24,78%,85%,80%
5/23,75%,84%,75%
5/22,66%,84%,78%
5/21,77%,88%,83%
5/20,75%,83%,82%
5/19,74%,83%,77%
5/18,80%,92%,82%
5/17,77%,82%,77%
5/16,70%,88%,85%
5/15,72%,84%,82%
5/14,68%,88%,86%
5/13,73%,91%,82%
5/12,72%,88%,75%
5/11,78%,88%,81%
5/10,74%,81%,77%
5/09,76%,86%,84%
5/08,72%,88%,79%
5/07,78%,89%,82%
5/06,82%,85%,85%
5/05,77%,86%,77%
5/04,84%,90%,80%
5/03,70%,86%,86%
5/02,81%,89%,77%
5/01,77%,89%,84%
4/30,77%,87%,83%
4/29,68%,81%,85%
4/28,73%,87%,80%
4/27,70%,89%,78%
4/26,78%,81%,74%
4/25,65%,86%,84%
4/24,80%,87%,75%
4/23,72%,83%,79%
4/22,80%,85%,84%
4/21,82%,83%,74%
4/20,73%,87%,85%
4/19,78%,89%,74%
4/18,79%,85%,79%
4/17,81%,91%,82%
4/16,77%,85%,82%
4/15,71%,90%,71%
4/14,71%,87%,80%
4/13,75%,87%,76%
4/12,75%,90%,76%
4/11,64%,80%,76%
4/10,72%,87%,76%
4/09,80%,88%,81%
4/08,80%,89%,74%
4/07,75%,86%,69%
4/06,75%,84%,82%
4/05,79%,88%,81%
4/04,75%,90%,76%
4/03,84%,79%,79%
4/02,78%,84%,76%
4/01,72%,83%,80%
3/31,72%,86%,80%
3/30,74%,89%,72%
3/29,71%,85%,81%
3/28,78%,85%,74%
3/27,85%,83%,73%
3/26,79%,89%,82%
3/25,78%,81%,72%
3/24,79%,79%,71%
3/23,72%,86%,74%
