Country,Gold,Silver,Bronze
Russia*,7,15,11
Ukraine,2,4,5
Belarus,2,3,6
United States,6,1,3
Kazakhstan,5,2,2
Bulgaria,4,2,1
Turkey,1,4,-
Hungary,2,2,-
China,3,-,1
Uzbekistan,2,1,1
Sweden,-,1,2
Armenia,-,-,3
Moldova,-,-,3
Germany,2,-,-
Romania,1,-,1
Azerbaijan,-,1,1
NorthKorea,-,1,1
Greece,-,-,2
Bahrain,1,-,-
Canada,1,-,-
Ireland,1,-,-
Jamaica,1,-,-
Poland,1,-,-
Cuba,-,1,-
Finland,-,1,-
Georgia,-,1,-
Italy,-,1,-
Lithuania,-,1,-
Mongolia,-,1,-
Kyrgyzstan,-,-,1
Netherlands,-,-,1
Norway,-,-,1
Spain,-,-,1
Unified Russian Team (1992),-,-,1
