Country,2017,2018,2019,2018.1,2017.1
European Union - 28 countries,72%,73%,75%,93%,92%
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",72%,74%,76%,93%,94%
Belgium,81%,80%,80%,92%,93%
Bulgaria,45%,40%,40%,90%,93%
Czechia,79%,80%,82%,88%,91%
Denmark,94%,94%,94%,85%,89%
Germany,84%,85%,86%,83%,84%
Estonia,78%,82%,82%,83%,86%
Ireland,69%,69%,77%,79%,81%
Greece,53%,54%,59%,77%,78%
Spain,68%,69%,72%,77%,78%
France,76%,77%,79%,77%,79%
Croatia,48%,59%,59%,76%,76%
Italy,55%,57%,59%,74%,76%
Cyprus,51%,54%,56%,73%,69%
Latvia,70%,70%,72%,71%,71%
Lithuania,61%,60%,62%,71%,72%
Luxembourg,92%,84%,83%,71%,72%
Hungary,69%,69%,72%,71%,72%
Malta,65%,67%,69%,69%,70%
Netherlands,93%,92%,93%,68%,69%
Austria,78%,78%,79%,66%,69%
Poland,60%,61%,65%,64%,68%
Portugal,59%,63%,64%,62%,64%
Romania,45%,42%,43%,58%,60%
Slovenia,69%,70%,72%,58%,61%
Slovakia,71%,67%,71%,58%,48%
Finland,89%,89%,90%,57%,59%
Sweden,91%,86%,91%,54%,55%
United Kingdom,86%,88%,89%,53%,51%
Iceland,93%,95%,95%,52%,53%
Norway,93%,94%,94%,43%,45%
North Macedonia,43%,42%,47%,42%,45%
Serbia,39%,39%,44%,-,-
Turkey,30%,32%,34%,,
