Year,Baccarat,21,Craps,Roulette,Others
2019,36.87%,29.48%,10.78%,11%,11.88%
2018,39.61%,28.43%,8.95%,10.57%,12.44%
2017,37.36%,30.5%,9.03%,10%,13.11%
2016,39.7%,28.66%,8.8%,9.51%,13.33%
2015,41.82%,27.24%,8.69%,8.58%,13.67%
2014,45.85%,24.97%,7.91%,9.01%,12.26%
2013,46.8%,24.59%,7.62%,8.71%,12.27%
2012,43.88%,23.62%,8.89%,10.17%,13.44%
2011,42.59%,26.01%,9.63%,9.33%,12.45%
2010,41.43%,26.47%,8.88%,9.76%,13.46%
2009,37.91%,28.28%,9.31%,9.82%,14.68%
2008,28.27%,33.49%,11.55%,10.12%,16.57%
2007,29.11%,33.55%,10.63%,9.76%,16.95%
2006,27.77%,32.91%,10.52%,9.21%,19.59%
2005,25.01%,32.01%,12.22%,9.6%,21.16%
2004,21.48%,35.11%,12.58%,9.5%,21.33%
2003,17.64%,35.91%,13.47%,9.93%,23.05%
2002,19.96%,33.59%,13.74%,9.67%,23.04%
2001,20.25%,34.67%,14.76%,9.65%,20.67%
2000,23.81%,33.13%,14.63%,9.76%,18.67%
