State,2006,2010,2018
Alabama,10571,12409,18001
Alaska,12198,14232,21468
Arizona,11549,13871,18875
Arkansas,9928,11816,17995
California,11493,13819,19567
Colorado,11195,13393,18314
Connecticut,12416,14888,20735
Delaware,12601,14671,20098
District of Columbia,12262,15206,21810
Florida,11046,15032,18934
Georgia,10793,13114,18575
Hawaii,9426,12062,17919
Idaho,10775,11379,17579
Illinois,11781,14703,20407
Indiana,11454,13884,19551
Iowa,10550,13240,18192
Kansas,11048,13460,18825
Kentucky,9864,13352,19277
Louisiana,10796,13230,19294
Maine,12363,14576,19555
Maryland,11272,13952,19237
Massachusetts,12290,14606,21801
Michigan,11452,13148,18242
Minnesota,11395,13903,19327
Mississippi,9769,13740,17384
Missouri,11171,12754,19249
Montana,11068,12312,19610
Nebraska,10777,13221,19015
Nevada,9746,12496,18357
New Hampshire,12686,15204,20538
New Jersey,12233,14058,22294
New Mexico,11279,14083,17861
New York,12075,14730,21904
North Carolina,10950,13643,18211
North Dakota,10060,12544,17337
Ohio,10967,13083,19640
Oklahoma,10592,12900,18745
Oregon,11613,13756,18977
Pennsylvania,11794,13550,20255
Rhode Island,11934,14812,18623
South Carolina,10956,13234,19284
South Dakota,9875,12542,19730
Tennessee,9996,12729,17663
Texas,11690,14526,19460
Utah,10975,12618,18052
Vermont,11631,13588,20129
Virginia,11497,13907,19512
Washington,11423,14188,18783
West Virginia,11282,14194,20709
Wisconsin,11658,14542,19555
Wyoming,12087,13899,19374
