Year,Energy supply,Industry,Transport,Residential/commercial,Agriculture,Waste,International aviation,International shipping
2017,1265539,877315,945872,568900,519907,138866,158268,145765
2016,1283579,857770,932470,567325,515475,140109,148008,145122
2015,1334053,860258,913264,556390,513435,143160,141218,138245
2014,1347776,862470,896142,525657,513122,145493,136880,139311
2013,1434665,863762,888747,616751,506531,151173,134731,142456
2012,1512109,874313,895985,612073,503148,157924,133524,150518
2011,1520570,907848,925533,594963,506959,162056,135415,163103
2010,1547188,927264,937607,686910,508171,167818,131712,161437
2009,1521086,877769,943226,645333,510352,175139,131143,164257
2008,1651149,1054599,970708,661021,518223,181139,141760,183308
2007,1725295,1108157,995393,613011,520394,189111,141127,181961
2006,1719855,1093474,985975,687546,521082,195842,136547,174044
2005,1712688,1104392,978838,691137,528098,202009,131053,162326
2004,1724644,1111856,979644,695076,534512,208856,122972,158212
2003,1743780,1103340,960255,697859,533216,217386,115225,148657
2002,1694857,1084204,951333,683021,536942,223464,110793,146477
2001,1679714,1107678,939986,713171,546102,227377,113824,141412
2000,1641489,1140578,926942,666271,552301,231455,115442,136180
1999,1624970,1121533,932101,688987,559704,234734,109470,129483
1998,1675088,1178137,914064,700633,561652,240153,100919,134933
1997,1669289,1236184,884852,712213,567584,243614,94072,129403
1996,1712778,1239324,873616,759936,573886,246648,89898,119280
1995,1688372,1246159,847270,695594,569707,247432,85760,111444
1994,1685145,1213676,834889,691489,568820,246587,81150,111333
1993,1689244,1187343,828345,739146,575394,247041,77666,111563
1992,1759562,1223264,823908,725378,584506,246078,73588,110811
1991,1822613,1278810,800395,779624,609808,244026,68038,109111
1990,1868673,1353316,793200,728514,641656,240421,69141,110721
