Year,Exports,Imports,Balance
2019,337466,473361,-135895
2018,297922,432101,-134179
2017,285960,403657,-117697
2016,292092,413199,-121107
2015,301084,418904,-117820
2014,298430,403446,-105016
2013,301571,397579,-96008
2012,266023,361038,-95015
2011,227262,311753,-84491
2010,252326,342251,-89925
2009,222741,310807,-88066
2008,245031,322668,-77637
2007,212801,282044,-69243
2006,191210,253999,-62789
2005,187905,240637,-52732
2004,187050,236966,-49916
2003,189628,234348,-44720
2002,187501,224009,-36508
2001,166734,196671,-29937
2000,164202,187252,-23050
