Year,Men,Women
Rio 2016,6.03,4.85
London 2012,5.97,4.75
Beijing 2008,5.96,5.05
Athens 2004,5.95,4.91
Sydney 2000,5.9,4.6
Atlanta 1996,5.92,-
Barcelona 1992,5.8,-
Seoul 1988,5.9,-
Los Angeles 1984,5.75,-
Moscow 1980,5.78,-
Montreal 1976,5.5,-
Munich 1972,5.5,-
Mexico City 1968,5.4,-
Tokyo 1964,5.1,-
Rome 1960,4.7,-
Melbourne 1956,4.56,-
Helsinki 1952,4.55,-
London 1948,4.3,-
Berlin 1936,4.35,-
Los Angeles 1932,4.32,-
Amsterdam 1928,4.2,-
Paris 1924,3.95,-
Antwerp 2020,4.09,-
Stockholm 1912,3.95,-
London 1908,3.71,-
St. Louis 1904,3.5,-
Paris 1900,3.3,-
Athens 1896,3.3,-
