English and British monarch's reign,Windsor,Hanover,Stuart,Protectorate/Disputed/Other,Tudor,York,Lancaster,Plantagenet,Anjou,Normandy,Wessex/Anglo-Saxon,Denmark
Elizabeth II (since 1952)*,68.91,-,-,-,-,-,-,-,-,-,-,-
George VI (1936-1952),15.16,-,-,-,-,-,-,-,-,-,-,-
Edward VIII (1936),0.89,-,-,-,-,-,-,-,-,-,-,-
George V (1910-1936),25.71,-,-,-,-,-,-,-,-,-,-,-
Edward VII (1901-1910),9.29,-,-,-,-,-,-,-,-,-,-,-
Victoria (1837-1901),-,63.59,-,-,-,-,-,-,-,-,-,-
William IV (1830-1837),-,6.99,-,-,-,-,-,-,-,-,-,-
George IV (1820-1830),-,10.41,-,-,-,-,-,-,-,-,-,-
George III (1760-1820),-,59.27,-,-,-,-,-,-,-,-,-,-
George II (1727-1760),-,33.35,-,-,-,-,-,-,-,-,-,-
George I (1714-1727),-,12.86,-,-,-,-,-,-,-,-,-,-
Anne (1702-1714)**,-,-,12.4,-,-,-,-,-,-,-,-,-
William III & Mary II (1689-1702),-,-,13.07,-,-,-,-,-,-,-,-,-
James II (1685-1688),-,-,3.88,-,-,-,-,-,-,-,-,-
Charles II (1660-1685),-,-,24.7,-,-,-,-,-,-,-,-,-
Richard Cromwell (1658-1659),-,-,-,0.68,-,-,-,-,-,-,-,-
Oliver Cromwell (1653-1658)****,-,-,-,4.72,-,-,-,-,-,-,-,-
Charles I (1625-1649),-,-,23.85,-,-,-,-,-,-,-,-,-
James I (1603-1625),-,-,22.01,-,-,-,-,-,-,-,-,-
Elizabeth I (1558-1603),-,-,-,-,44.35,-,-,-,-,-,-,-
Mary I & Philip (1553-1558),-,-,-,-,5.33,-,-,-,-,-,-,-
Jane (1553),-,-,-,0.02,-,-,-,-,-,-,-,-
Edward VI (1547-1553),-,-,-,-,6.44,-,-,-,-,-,-,-
Henry VIII (1509-1547),-,-,-,-,37.77,-,-,-,-,-,-,-
Henry VII (1485-1509),-,-,-,-,23.67,-,-,-,-,-,-,-
Richard III (1483-1485),-,-,-,-,-,2.16,-,-,-,-,-,-
Edward V (1483),-,-,-,-,-,0.21,-,-,-,-,-,-
Edward IV (1461-1470 & 1471-1483)***,-,-,-,-,-,21.58,-,-,-,-,-,-
Henry VI (1422-1461 & 1470-1471)***,-,-,-,-,-,-,39.06,-,-,-,-,-
Henry V (1413-1422),-,-,-,-,-,-,9.45,-,-,-,-,-
Henry IV (1399-1413),-,-,-,-,-,-,13.47,-,-,-,-,-
Richard II (1377-1399),-,-,-,-,-,-,-,22.27,-,-,-,-
Edward III (1327-1377),-,-,-,-,-,-,-,50.41,-,-,-,-
Edward II (1307-1327),-,-,-,-,-,-,-,19.54,-,-,-,-
Edward I (1272-1307),-,-,-,-,-,-,-,34.63,-,-,-,-
Henry III (1216-1272),-,-,-,-,-,-,-,56.05,-,-,-,-
Louis VIII of France (1216-1217),-,-,-,1,-,-,-,-,-,-,-,-
John (1999-1216),-,-,-,-,-,-,-,-,17.4,-,-,-
Richard I (1189-1189-1199),-,-,-,-,-,-,-,-,9.59,-,-,-
Henry II (1154-1189),-,-,-,-,-,-,-,-,34.55,-,-,-
Matilda (1141),-,-,-,0.57,-,-,-,-,-,-,-,-
Stephen (1135-1154),-,-,-,18.84,-,-,-,-,-,-,-,-
Henry I (1100-1135),-,-,-,-,-,-,-,-,-,35.33,-,-
William II (1087-1100),-,-,-,-,-,-,-,-,-,12.85,-,-
William I (1066-1087),-,-,-,-,-,-,-,-,-,20.71,-,-
Edgar Aetheling (1066),-,-,-,0.18,-,-,-,-,-,-,-,-
Harold Godwinson (1066),-,-,-,0.77,-,-,-,-,-,-,-,-
Edward the Confessor (1042-1066),-,-,-,-,-,-,-,-,-,-,23.58,-
Harthacanute (1040-1042),-,-,-,-,-,-,-,-,-,-,-,2.23
Harold Harefoot (1035-1040),-,-,-,-,-,-,-,-,-,-,-,4.35
Canute (1016-1035),-,-,-,-,-,-,-,-,-,-,-,19.07
Edmund II (1016),-,-,-,-,-,-,-,-,-,-,0.61,-
Aethelred II (978-1014),-,-,-,-,-,-,-,-,-,-,38.1,-
Sweyn (1013-1014),-,-,-,-,-,-,-,-,-,-,-,0.11
Edward the Martyr (975-978),-,-,-,-,-,-,-,-,-,-,2.7,-
Edgar (959-975),-,-,-,-,-,-,-,-,-,-,15.77,-
Eadwig (955-959),-,-,-,-,-,-,-,-,-,-,0.86,-
Eadred (946-955),-,-,-,-,-,-,-,-,-,-,9.5,-
Edmund I (939-946),-,-,-,-,-,-,-,-,-,-,6.58,-
Aethelstan (924-939),-,-,-,-,-,-,-,-,-,-,15,-
Aelfweard (924),-,-,-,0.04,-,-,-,-,-,-,-,-
Edward the Elder (899-924),-,-,-,-,-,-,-,-,-,-,0.73,-
Alfred the Great (871-899),-,-,-,-,-,-,-,-,-,-,18,-
Aethelred I (866-871),-,-,-,-,-,-,-,-,-,-,5,-
Aethelbert (860-866),-,-,-,-,-,-,-,-,-,-,6,-
Aethelbald (856-860),-,-,-,-,-,-,-,-,-,-,4,-
Aethelwulf (839-856),-,-,-,-,-,-,-,-,-,-,17,-
Egbert (827-839),-,-,-,-,-,-,-,-,-,-,12,-
