leading radio stations,March - August 2019,March - August 2020
Radio ZET,12.9%,11.5%
Radio RMF FM,9.4%,11.3%
Radio TOK FM,9.8%,10.3%
Radio ESKA (Warsaw),6.1%,6.4%
Trójka,7.6%,5%
Radio Złote Przeboje 101 FM (Warsaw),3.5%,4.5%
Radio RMF Classic (Warsaw),3.5%,4.4%
Jedynka,5.1%,4.1%
Radio Eska Rock (Warsaw),3.4%,3.9%
Radio VOX FM (17 frequency),4.8%,3.9%
Antyradio,3.6%,3.8%
Meloradio (Warsaw),3.1%,3.7%
Radio Pogoda (Warsaw),4.2%,3.6%
"Rock Radio 103,7 FM (Warsaw)",2.2%,3%
Radio RFM MAXXX (Warsaw),2.7%,2.7%
