Month and year,Imports,Exports
May20,222.72,102.21
Apr20,219.75,82.28
Mar20,334.14,90.21
Feb20,333.03,104.85
Jan20,410.24,92.65
Dec19,346.82,93.31
Nov19,336.03,116.71
Oct19,384.46,164.46
Sep19,426.33,160.31
Aug19,475.2,153.35
Jul19,414.24,132.53
Jun19,437.91,160.78
May19,484.62,154.93
Apr19,380.96,119.23
Mar19,388.86,153.36
Feb19,334.0,96.47
Jan19,243.02,105.4
Dec18,277.01,137.38
Nov18,357.71,174.26
Oct18,396.13,148.04
Sep18,403.96,159.01
Aug18,505.27,123.85
Jul18,420.4,149.75
Jun18,446.94,157.82
May18,325.39,146.85
Apr18,362.91,133.72
Mar18,417.49,155.72
Feb18,386.83,95.3
Jan18,399.21,122.46
Dec17,355.7,127.37
Nov17,331.31,175.91
Oct17,372.43,124.82
Sep17,367.69,142.31
Aug17,362.44,152.11
Jul17,344.69,138.79
Jun17,333.48,123.06
May17,370.97,100.7
Apr17,374.79,119.54
Mar17,367.05,119.84
Feb17,353.86,110.69
Jan17,358.47,90.23
