Race,2014,2015,2016
Consumer goods and services,3303109,5812433,4088848
"ICT (Communications, computer and electronics)",6414402,3823608,3657041
Business products and services,2279030,4174416,2521002
Biotech and healthcare,1257301,1061724,1272996
Financial and insurance activities,1552050,2962088,1044871
Chemicals and materials,115865,374745,517329
Energy and environment,535934,1328579,509678
Transportation,293472,494038,396246
Real estate,16171,181531,240931
Construction,135006,84338,90531
Agriculture,173668,378391,26392
Other,43019,221790,842220
