Year,Men,Women
Rio 2016,128.73,144.07
London 2012,128.02,143.12
Beijing 2008,126.53,146.73
Athens 2004,130.92,146.33
Sydney 2000,130.18,143.23
Atlanta 1996,132.06,146.08
Barcelona 1992,133.38,152.68
Seoul 1988,130.53,144.67
Los Angeles 1984,129.35,144.87
Moscow 1980,131.05,-
Montreal 1976,129.92,-
Munich 1972,132.33,-
Mexico City 1968,140.44,-
Tokyo 1964,132.19,-
Rome 1960,135.27,-
Melbourne 1956,145.0,-
Helsinki 1952,143.05,-
London 1948,154.86,-
Berlin 1936,149.32,-
Los Angeles 1932,151.6,-
Amsterdam 1928,152.95,-
Paris 1924,161.38,-
Antwerp 1920,152.6,-
Stockholm 1912,156.91,-
London 1908,175.31,-
St. Louis 1904,208.88,-
Paris 1900,179.75,-
Athens 1896,178.83,-
