Month,Home quarantine,Hospital quarantine
Dec 17,283389,13358
Dec 10,302567,13924
Dec 3,298929,15100
Nov 26,300925,16270
Nov 19,301547,16478
Nov 12,296773,18810
Nov 5,281568,21351
Oct 29,269424,22540
Oct 23,257404,22780
Oct 16,251145,25582
Oct 9,245261,28425
Oct 1,212849,30258
Sept 22,194488,25782
Sept 15,185514,22627
Sept 8,180963,17887
Sept 1,177488,19094
Aug 25,166784,17010
Aug 18,151931,13633
Aug 11,137586,12121
Aug 3,134455,10779
Jul 27,145751,9397
Jul 20,157523,7710
Jul 12,177794,3990
Jul 6,180316,2975
Jun 30,181876,2781
Jun 28,173123,2611
Jun 22,145225,2126
Jun 14,240744,2023
Jun 2,145670,1340
May 24,94662,732
May 23,90416,668
May 22,83649,609
May 21,79611,527
May 20,73865,533
May 19,71545,455
May 18,67316,473
May 17,61855,674
May 16,56362,619
May 15,48287,538
May 14,36362,548
May 13,33953,494
May 12,31143,473
May 11,27545,441
May 10,26350,362
May 9,23596,334
May 8,19810,347
May 7,16383,310
May 6,14402,268
May 5,21034,308
May 4,21352,372
May 3,21332,388
May 2,21484,410
May 1,21067,432
Apr 30,20285,426
Apr 29,20172,501
Apr 28,20255,518
Apr 27,19812,489
Apr 26,19665,462
Apr 25,20580,464
Apr 24,21243,482
Apr 23,23439,437
Apr 22,28804,346
Apr 21,36335,332
Apr 20,45925,398
Apr 19,55129,461
Apr 18,66686,504
Apr 17,78454,526
Apr 16,88332,523
Apr 15,96942,522
Apr 14,106511,564
Apr 13,111468,715
Apr 12,116125,816
Apr 11,122676,814
Apr 10,129021,730
Apr 9,135472,723
Apr 8,139725,749
Apr 7,145934,752
Apr 6,152009,795
Apr 5,157841,776
Apr 4,170621,734
Apr 3,169291,706
Apr 2,165291,643
Apr 1,163508,622
Mar 31,162471,658
Mar 30,156660,623
Mar 29,140618,593
Mar 28,133750,620
Mar 27,109683,616
Mar 26,101402,601
Mar 25,76010,532
Mar 24,71994,466
Mar 23,63937,383
Mar 22,58981,314
Mar 21,52785,228
Mar 20,44165,225
Mar 19,30936,237
Mar 18,25366,237
Mar 17,17743,268
Mar 16,12470,270
Mar 15,10655,289
Mar 14,7375,302
Mar 13,5191,277
Mar 12,3910,270
Mar 11,3020,293
Mar 10,1236,259
Mar 9,967,149
Mar 8,648,84
Mar 7,574,63
Mar 6,546,46
Mar 5,508,39
Mar 4,438,31
Mar 3,388,23
Mar 2,276,17
Mar 1,193,13
Feb 29,181,10
Feb 28,128,8
Feb 27,128,7
Feb 26,130,2
Feb 25,118,8
Feb 24,128,7
Feb 23,122,5
Feb 22,137,5
Feb 21,706,5
Feb 20,907,7
Feb 19,2234,8
Feb 18,2209,13
Feb 17,2233,13
Feb 16,2262,14
Feb 15,2194,16
Feb 14,2272,16
Feb 13,2375,22
Feb 12,2431,24
Feb 11,3420,27
Feb 10,3336,31
Feb 9,3218,34
Feb 8,3099,45
Feb 7,2953,61
Feb 6,2743,83
Feb 5,2435,93
Feb 4,2321,100
Feb 3,2155,84
Feb 2,1924,75
Feb 1,1723,70
Jan 31,1421,50
Jan 30,1038,15
Jan 29,796,10
Jan 28,626,0
Jan 27,431,0
Jan 26,281,0
Jan 25,172,0
