Month and year,Imports,Exports
May20,3124.74,2798.54
Apr20,3350.73,2673.32
Mar20,3799.78,4130.39
Feb20,3511.28,3850.39
Jan20,4040.74,3207.53
Dec19,4334.81,5853.64
Nov19,4410.43,4745.76
Oct19,4742.81,4878.04
Sep19,4716.22,3843.89
Aug19,5096.23,4219.18
Jul19,4649.94,5058.4
Jun19,4324.65,5075.15
May19,4559.32,4383.35
Apr19,3998.45,4296.6
Mar19,4007.27,6419.14
Feb19,3953.79,5678.67
Jan19,4104.61,4730.39
Dec18,4407.98,7076.42
Nov18,4987.61,7167.8
Oct18,5357.98,6042.54
Sep18,4770.09,7728.37
Aug18,4658.8,6525.56
Jul18,4659.03,5599.85
Jun18,4701.27,6904.2
May18,4493.28,6988.33
Apr18,4134.47,5191.37
Mar18,4107.15,8010.8
Feb18,3858.46,5013.55
Jan18,4258.74,4757.06
Dec17,4160.34,7835.17
Nov17,4564.65,7269.36
Oct17,4563.81,5757.71
Sep17,4453.63,6545.54
Aug17,4545.09,6576.55
Jul17,4144.41,6247.8
Jun17,4178.94,6050.63
May17,4050.68,6597.87
Apr17,3898.98,6478.98
Mar17,4095.86,6359.42
Feb17,3340.71,5091.55
Jan17,4044.67,4929.38
