Response,Germany,United Kingdom,United States
Amazon / Amazon Fresh / Amazon Pantry,6%,8%,15%
DoorDash,-,-,13%
Uber Eats,-,8%,12%
Domino's,5%,10%,11%
Instacart,-,-,10%
GrubHub,-,-,10%
Postmates,-,-,6%
HelloFresh,4%,2%,4%
Blue Apron,-,-,3%
Eismann,3%,-,-
Deliveroo,2%,10%,-
Edeka24,4%,-,-
Iceland Foods,-,9%,-
Rewe Lieferservice,6%,-,-
sainsburys.co.uk,-,11%,-
asda.com,-,11%,-
Nando's,-,3%,-
Foodora,1%,-,-
Tesco,-,20%,-
BoFrost,4%,-,-
Lieferando,20%,-,-
Just Eat,-,18%,-
Lieferheld,6%,-,-
None of the above,66%,47%,61%
