Month,Euronext*,London Stock Exchange,Deutsche Börse,SIX Swiss Exchange,NASDAQ Nordic and Baltic Exchanges,Moscow Exchange,BME Spanish Exchanges
Sep '20,4428.02,3301.63,2104.51,1841.11,1811.17,582.57,619.87
Aug '20,4606.56,3470.4,1866.06,1881.95,1813.47,628.29,651.85
Jul '20,4413.37,3333.74,2022.21,1821.42,1719.26,613.41,624.39
Jun '20,4286.01,3229.81,1933.7,1760.78,1561.29,613.71,620.79
May '20,4083.32,3163.41,1874.69,1713.85,1529.54,637.04,608.72
Apr '20,3857.16,3096.21,1726.05,1662.39,1397.67,680.03,582.56
Mar '20,3669.15,2917.09,1578.0,1605.87,1284.01,505.61,572.31
Feb '20,4402.9,3620.55,1859.12,1701.15,1486.35,673.47,725.81
Jan '20,4858.56,4055.43,2035.74,1843.48,1606.87,776.96,777.97
Dec '19,4701.71,4182.87,1995.62,1834.45,1612.58,791.52,797.29
