Year,0-17 years,18-45 years,46-65 years,66-79 years,Over 80 years
"12/18/20 (6,937)",11.2%,41.6%,32%,11.3%,3.9%
"12/17/20 (6,711)",12.2%,42.1%,30.3%,11.5%,3.9%
"12/16/20 (5,028)",8.6%,42.2%,31.7%,12.6%,4.9%
"12/15/20 (5,418)",12.9%,40.3%,30.8%,11.8%,4.2%
"12/14/20 (5,874)",12.5%,40.9%,30.3%,11.8%,4.5%
"12/13/20 (6,425)",13.3%,41.3%,30.8%,10.1%,4.5%
"12/12/20 (6,622)",11.5%,40.5%,31.6%,12.2%,4.2%
"12/11/20 (7,215)",13.1%,40.6%,32.1%,10%,4.2%
"12/10/20 (6,730)",12.5%,40.4%,32.1%,11%,4%
"12/09/20 (5,145)",9.5%,42.5%,32.9%,10.6%,4.5%
"12/08/20 (5,232)",10.9%,41.4%,32.7%,10.8%,4.2%
"12/07/20 (7,279)",13%,40.4%,30.9%,11.3%,4.4%
"12/06/20 (7,512)",12.3%,40.6%,31%,11.9%,4.2%
"12/05/20 (7,993)",11.2%,41.6%,31.5%,11.4%,4.3%
12/04/20 (6.868),11.3%,42.3%,31.4%,11.1%,3.9%
"12/03/20 (7,750)",11%,42.5%,31.6%,10.9%,4%
"12/02/20 (5,191)",8.7%,41.2%,33.6%,11.6%,4.9%
"12/01/20 (6,524)",12.7%,38.3%,32%,13%,4%
"11/30/20 (6,511)",12.5%,41.3%,30.5%,11.5%,4.2%
"11/29/20 (6,798)",11.2%,42.8%,30.7%,11.6%,3.7%
"11/28/20 (7,320)",11.2%,41.2%,32.1%,11.3%,4.2%
"11/27/20 (7,918)",10.7%,42.8%,31.3%,10.9%,4.3%
"11/26/20 (6,075)",12.3%,41.9%,31.9%,9.6%,4.3%
"11/25/20 (4,685)",8.5%,42.5%,32.8%,12.4%,3.8%
"11/24/20 (5,838)",12.1%,40%,32.2%,10.8%,4.9%
"11/23/20 (6,866)",12.1%,42.3%,31.2%,10.5%,3.9%
"11/22/20 (6,575)",12.2%,43.7%,30.2%,10.2%,3.7%
"11/21/20 (7,168)",13.3%,43.6%,29.1%,10.2%,3.8%
"11/20/20 (6,902)",13.6%,42.2%,31.9%,8.9%,3.4%
"11/19/20 (6,438)",15.3%,42.1%,29.3%,9.8%,3.5%
"11/18/20 (4,174)",11.1%,43.4%,31.3%,10.5%,3.7%
