Year,Africa,Americas,Eastern Mediterranean,Europe,South-East Asia,Western Pacific
2018,11787,2,1622,800,4533,7262
2017,6166,7,931,842,4386,4061
2016,4157,2,1981,1471,10361,5446
2015,5302,5,1885,655,6515,9398
2014,7402,10,2945,653,9690,12814
2013,13739,11,3904,39391,10434,33677
2012,10850,15,1681,30579,6877,44275
2011,16190,8,2749,9677,9810,76022
2010,2754,17,1398,10551,15275,45966
2009,17422,18,2030,11623,17208,73077
2008,16297,4534,2363,23912,7436,126487
2007,3993,13243,12071,67927,14073,85194
2006,2457,2990,3685,193923,4135,42912
2005,2868,5296,14967,206359,9834,28659
2004,4452,3101,8368,263964,1231,27097
2003,4835,1203,510,304390,1475,5002
2002,2265,14644,569,617860,1187,3222
2001,1572,24614,1328,800469,983,7366
2000,865,39228,3122,621039,1165,5475
1999,51,58755,5775,804567,5093,875
