Year and candidate,Democrat,Republican,Whig
2020: Donald Trump,-,29,-
2016: Donald Trump*,-,29,-
2012: Barack Obama*,29,-,-
2008: Barack Obama*,27,-,-
2004: George W. Bush*,-,27,-
2000: George W. Bush*,-,25,-
1996: Bill Clinton*,25,-,-
1992: George H. W. Bush,-,25,-
1988: George H. W. Bush*,-,21,-
1984: Ronald Reagan*,-,21,-
1980: Ronald Reagan*,-,17,-
1976: Jimmy Carter*,17,-,-
1972: Richard Nixon*,-,17,-
1968: Richard Nixon*,-,14,-
1964: Lyndon B. Johnson*,14,-,-
1960: Richard Nixon,-,10,-
1956: Dwight D. Eisenhower*,-,10,-
1952: Dwight D. Eisenhower*,-,10,-
1948: Harry S. Truman*,8,-,-
1944: Franklin D. Roosevelt*,8,-,-
1940: Franklin D. Roosevelt*,7,-,-
1936: Franklin D. Roosevelt*,7,-,-
1932: Franklin D. Roosevelt*,7,-,-
1928: Herbert Hoover*,-,6,-
1924: John W. Davis,6,-,-
1920: James M. Cox,6,-,-
1916: Woodrow Wilson*,6,-,-
1912: Woodrow Wilson*,6,-,-
1908: William Jennings Bryan,5,-,-
1904: Alton B. Parker,5,-,-
1900: William Jennings Bryan,4,-,-
1896: William Jennings Bryan,4,-,-
1892: Grover Cleveland*,4,-,-
1888: Grover Cleveland,4,-,-
1884: Grover Cleveland*,4,-,-
1880: Winfield Hancock,4,-,-
1876: Rutherford B. Hayes*,-,4,-
1872: Ulysses S. Grant*,-,4,-
1868: Ulysses S. Grant*,-,3,-
1864: Seceded from union,-,-,-
1860: John C. Breckenridge,3,-,-
1856: James Buchanan*,3,-,-
1852: Franklin Pierce*,3,-,-
1848: Zachary Taylor*,-,-,3
