electronic shopping and mail-order houses ,Total,E-commerce
Books (includes audio books and e-books),19853,18022
Clothing and clothing accessories (includes footwear),84162,76187
"Computer and peripheral equipment, communications equipment, and related products (includes cellular phones)",28746,25880
Computer software (includes video game software),20366,19545
"Drugs, health aids, and beauty aids",149267,38391
Electronics and appliances,55353,51488
"Food, beer, and wine",16092,14147
Furniture and home furnishings,61339,57922
Jewelry,9962,7878
Audio and video recordings (includes purchased downloads),11532,10729
Office equipment and supplies,12137,10497
Sporting goods,21713,19008
"Toys, hobby goods, and games",19312,18117
Other merchandise*,85004,69977
Nonmerchandise receipts**,16905,13847
